{'train': 14041, 'val': 1887, 'test': 2612}
ep1/18 loss=0.6771 val_MAE_skor=0.4063 val_acc_bulat=0.6683 (62s)
ep2/18 loss=0.5315 val_MAE_skor=0.3895 val_acc_bulat=0.6953 (57s)
ep3/18 loss=0.5154 val_MAE_skor=0.4115 val_acc_bulat=0.6635 (57s)
ep4/18 loss=0.5074 val_MAE_skor=0.3948 val_acc_bulat=0.6693 (51s)
ep5/18 loss=0.4957 val_MAE_skor=0.3921 val_acc_bulat=0.6762 (57s)
ep6/18 loss=0.4821 val_MAE_skor=0.3927 val_acc_bulat=0.6815 (57s)
ep7/18 loss=0.4692 val_MAE_skor=0.3871 val_acc_bulat=0.6709 (57s)
ep8/18 loss=0.4439 val_MAE_skor=0.3889 val_acc_bulat=0.6624 (57s)
ep9/18 loss=0.4174 val_MAE_skor=0.4007 val_acc_bulat=0.6534 (51s)
ep10/18 loss=0.3976 val_MAE_skor=0.3867 val_acc_bulat=0.6677 (57s)
ep11/18 loss=0.3458 val_MAE_skor=0.3916 val_acc_bulat=0.6550 (57s)
ep12/18 loss=0.2939 val_MAE_skor=0.3717 val_acc_bulat=0.6672 (57s)
ep13/18 loss=0.2437 val_MAE_skor=0.3653 val_acc_bulat=0.6651 (55s)
ep14/18 loss=0.1891 val_MAE_skor=0.3493 val_acc_bulat=0.6730 (53s)
ep15/18 loss=0.1559 val_MAE_skor=0.3502 val_acc_bulat=0.6698 (57s)
ep16/18 loss=0.1331 val_MAE_skor=0.3481 val_acc_bulat=0.6704 (57s)
ep17/18 loss=0.1203 val_MAE_skor=0.3474 val_acc_bulat=0.6651 (57s)
ep18/18 loss=0.1120 val_MAE_skor=0.3475 val_acc_bulat=0.6651 (51s)
terbaik val MAE skor = 0.3474
ORDINAL DONE
