epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,170.696,1.94398,3.73918,0.0087,0.61277,0.58029,0.63478,0.25539,2.09753,1.73376,0.01261,0.000665333,0.000665333,0.000665333
2,304.412,2.00609,1.57484,0.00935,0.67054,0.58082,0.66827,0.27645,2.01611,1.46208,0.01211,0.00129903,0.00129903,0.00129903
3,539.024,1.9844,1.45962,0.00928,0.70961,0.65289,0.71216,0.27534,2.0976,1.49679,0.01277,0.00189973,0.00189973,0.00189973
4,803.68,1.94687,1.4308,0.00901,0.71456,0.63964,0.71437,0.31305,1.91269,1.36831,0.01148,0.0018515,0.0018515,0.0018515
5,1067.52,1.89788,1.37671,0.00874,0.76691,0.64971,0.75323,0.32463,1.93364,1.28676,0.01182,0.001802,0.001802,0.001802
6,1331.75,1.89655,1.37186,0.00866,0.771,0.66908,0.75632,0.33176,1.96761,1.27599,0.01186,0.0017525,0.0017525,0.0017525
7,1477.12,1.86643,1.30455,0.00848,0.77185,0.68129,0.7749,0.34739,1.89079,1.23169,0.0111,0.001703,0.001703,0.001703
8,1610.45,1.8594,1.30752,0.00844,0.75412,0.69475,0.77347,0.34404,1.91296,1.24676,0.01135,0.0016535,0.0016535,0.0016535
9,1743.43,1.84539,1.28927,0.0083,0.80106,0.65085,0.78005,0.35769,1.88405,1.16722,0.01108,0.001604,0.001604,0.001604
10,1876.47,1.83674,1.27696,0.00838,0.77906,0.66561,0.76964,0.34279,1.93421,1.28197,0.01177,0.0015545,0.0015545,0.0015545
11,2009.56,1.83369,1.25638,0.00823,0.77309,0.68733,0.774,0.34992,1.8828,1.21555,0.01121,0.001505,0.001505,0.001505
12,2142.39,1.80722,1.23727,0.00835,0.79949,0.69731,0.79186,0.36045,1.8601,1.15981,0.01092,0.0014555,0.0014555,0.0014555
13,2275.34,1.80729,1.22751,0.00811,0.77431,0.68892,0.78114,0.36507,1.85774,1.16532,0.01098,0.001406,0.001406,0.001406
14,2408.25,1.79473,1.20688,0.00817,0.81761,0.69422,0.79438,0.35871,1.87184,1.15448,0.01105,0.0013565,0.0013565,0.0013565
15,2541.07,1.80729,1.17777,0.00818,0.78643,0.71423,0.79053,0.36104,1.87306,1.15437,0.01106,0.001307,0.001307,0.001307
16,2674.1,1.77729,1.18201,0.0079,0.77868,0.70663,0.77906,0.36085,1.85185,1.1776,0.01094,0.0012575,0.0012575,0.0012575
17,2807.11,1.76229,1.15601,0.00792,0.79643,0.69157,0.79035,0.36757,1.85737,1.11994,0.01097,0.001208,0.001208,0.001208
18,2939.96,1.76456,1.16611,0.00798,0.8063,0.72135,0.80666,0.37265,1.83189,1.14282,0.01077,0.0011585,0.0011585,0.0011585
19,3072.93,1.75125,1.12428,0.00787,0.79529,0.72761,0.8024,0.37427,1.838,1.14792,0.01075,0.001109,0.001109,0.001109
20,3205.91,1.73736,1.12232,0.00779,0.8098,0.70641,0.80115,0.37137,1.85773,1.118,0.01103,0.0010595,0.0010595,0.0010595
21,3338.96,1.73655,1.11427,0.00766,0.81023,0.74214,0.81509,0.37445,1.8616,1.11236,0.01096,0.00101,0.00101,0.00101
22,3472,1.72949,1.08515,0.00765,0.8251,0.70906,0.79986,0.37368,1.84327,1.12014,0.01084,0.0009605,0.0009605,0.0009605
23,3605.02,1.73156,1.09453,0.00779,0.80183,0.73764,0.80759,0.36943,1.85151,1.11792,0.01092,0.000911,0.000911,0.000911
24,3739.12,1.72744,1.0944,0.00762,0.8131,0.71224,0.79998,0.37353,1.85083,1.12082,0.01091,0.0008615,0.0008615,0.0008615
25,3877.67,1.70797,1.0603,0.00762,0.80982,0.74467,0.81001,0.37524,1.87538,1.06585,0.01102,0.000812,0.000812,0.000812
26,4016.79,1.71278,1.06823,0.00764,0.8013,0.73944,0.81797,0.37883,1.84311,1.10943,0.01073,0.0007625,0.0007625,0.0007625
27,4155.88,1.68898,1.0408,0.00749,0.82523,0.72814,0.81454,0.37193,1.8728,1.0672,0.01096,0.000713,0.000713,0.000713
28,4294.92,1.6866,1.05002,0.00741,0.80647,0.72867,0.80317,0.37456,1.85379,1.1145,0.0109,0.0006635,0.0006635,0.0006635
29,4433.91,1.68534,1.02583,0.00745,0.8132,0.73361,0.8112,0.37285,1.88651,1.07492,0.01105,0.000614,0.000614,0.000614
30,4573.14,1.67954,0.99602,0.00748,0.80984,0.7345,0.81,0.37331,1.88124,1.05745,0.01109,0.0005645,0.0005645,0.0005645
31,4718.2,1.68526,0.9159,0.00875,0.78931,0.72655,0.79922,0.36664,1.89325,1.07015,0.01116,0.000515,0.000515,0.000515
32,4854.8,1.67606,0.91538,0.00876,0.81022,0.7451,0.81131,0.36569,1.9064,1.0855,0.01129,0.0004655,0.0004655,0.0004655
33,4989.72,1.67041,0.88662,0.00868,0.80808,0.72496,0.80657,0.37312,1.87165,1.09234,0.011,0.000416,0.000416,0.000416
34,5123.17,1.6432,0.88993,0.00852,0.80727,0.73821,0.80621,0.37381,1.86128,1.0871,0.01093,0.0003665,0.0003665,0.0003665
35,5255.5,1.63581,0.8764,0.00844,0.80384,0.73768,0.80745,0.37283,1.87748,1.09506,0.01104,0.000317,0.000317,0.000317
36,5387.77,1.6285,0.8573,0.0084,0.8022,0.74245,0.80398,0.36879,1.90006,1.09176,0.01122,0.0002675,0.0002675,0.0002675
