epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1958,2.00515,5.78654,0.0125,0.58822,0.54474,0.55005,0.1573,2.16124,2.52533,0.02054,0.000661692,0.000661692,0.000661692
2,57.3986,2.0405,2.20933,0.01226,0.52818,0.44855,0.4398,0.10971,2.33806,2.72616,0.0215,0.00128452,0.00128452,0.00128452
3,85.2833,2.03246,2.11698,0.01247,0.66066,0.54007,0.60141,0.20156,2.04739,1.98897,0.0199,0.00186335,0.00186335,0.00186335
4,113.059,2.00729,1.99473,0.01238,0.69747,0.5962,0.64621,0.20344,2.21026,2.08314,0.02091,0.001802,0.001802,0.001802
5,140.953,1.98817,2.02495,0.01225,0.70749,0.5906,0.65662,0.21165,2.0773,1.86321,0.01991,0.001736,0.001736,0.001736
6,168.812,2.00864,1.87841,0.01231,0.78336,0.6229,0.69627,0.22201,2.1676,1.6736,0.02047,0.00167,0.00167,0.00167
7,196.713,1.9815,1.81884,0.01221,0.79386,0.65324,0.72761,0.25557,2.02698,1.66353,0.01908,0.001604,0.001604,0.001604
8,224.613,1.98305,1.75983,0.01229,0.79564,0.66443,0.73533,0.23329,2.23655,1.54573,0.02154,0.001538,0.001538,0.001538
9,252.411,1.94268,1.72405,0.01197,0.77758,0.73266,0.78409,0.2767,2.03385,1.60369,0.01949,0.001472,0.001472,0.001472
10,280.163,1.94945,1.74364,0.01188,0.75252,0.64318,0.69106,0.22265,2.24764,1.60058,0.02127,0.001406,0.001406,0.001406
11,307.939,1.95644,1.6362,0.01195,0.78097,0.7226,0.77821,0.27314,2.00262,1.56713,0.01873,0.00134,0.00134,0.00134
12,335.628,1.94612,1.59067,0.01197,0.83165,0.67897,0.76317,0.28947,1.95024,1.61755,0.01831,0.001274,0.001274,0.001274
13,363.394,1.89903,1.59881,0.01157,0.74287,0.70582,0.74961,0.24967,2.09782,1.39648,0.01967,0.001208,0.001208,0.001208
14,391.083,1.90714,1.54929,0.01183,0.7399,0.72549,0.73752,0.26108,2.17258,1.55372,0.02096,0.001142,0.001142,0.001142
15,418.8,1.93982,1.49218,0.01188,0.8405,0.65429,0.76264,0.28364,2.04177,1.45411,0.01891,0.001076,0.001076,0.001076
16,446.514,1.89477,1.47452,0.0116,0.79365,0.7226,0.78179,0.27936,2.10435,1.41669,0.01962,0.00101,0.00101,0.00101
17,474.234,1.89783,1.39123,0.01171,0.81075,0.71141,0.78033,0.29089,2.03595,1.39119,0.01893,0.000944,0.000944,0.000944
18,502.014,1.90992,1.39236,0.0119,0.79572,0.72371,0.77873,0.28632,2.16577,1.33172,0.02002,0.000878,0.000878,0.000878
19,529.738,1.92823,1.36924,0.01186,0.77148,0.70917,0.74992,0.25712,2.16057,1.3277,0.02,0.000812,0.000812,0.000812
20,557.385,1.89449,1.35788,0.01152,0.78234,0.72595,0.76059,0.26588,2.12222,1.36611,0.01962,0.000746,0.000746,0.000746
21,590.427,1.97986,1.18837,0.01465,0.76214,0.71681,0.76778,0.27325,2.18104,1.33555,0.02013,0.00068,0.00068,0.00068
22,616.587,1.93945,1.15964,0.01436,0.77631,0.73043,0.77353,0.28711,2.15009,1.30161,0.02008,0.000614,0.000614,0.000614
23,642.732,1.9401,1.12195,0.01438,0.83803,0.71365,0.7769,0.29465,2.06357,1.36978,0.01932,0.000548,0.000548,0.000548
24,668.956,1.91611,1.09035,0.01413,0.78699,0.75391,0.78707,0.29645,2.14801,1.26781,0.01987,0.000482,0.000482,0.000482
25,695.266,1.90582,1.05336,0.01412,0.79647,0.7349,0.79166,0.29664,2.1159,1.29381,0.01959,0.000416,0.000416,0.000416
26,721.397,1.89243,1.00692,0.0141,0.80169,0.72931,0.78499,0.28947,2.18079,1.18106,0.02038,0.00035,0.00035,0.00035
27,747.534,1.88144,0.94782,0.01376,0.78662,0.73266,0.78033,0.28073,2.20139,1.18607,0.02065,0.000284,0.000284,0.000284
28,773.731,1.87331,0.9332,0.01392,0.808,0.73937,0.7808,0.29734,2.19354,1.15523,0.02062,0.000218,0.000218,0.000218
29,800.077,1.84903,0.91889,0.01364,0.79349,0.75644,0.7902,0.29792,2.20194,1.13491,0.02053,0.000152,0.000152,0.000152
30,826.185,1.83664,0.90068,0.01339,0.80643,0.75056,0.79367,0.3026,2.19418,1.12445,0.02051,8.6e-05,8.6e-05,8.6e-05
