epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4935,1.85767,5.59949,0.00808,0.39176,0.44494,0.34812,0.13849,1.95799,2.86405,0.0122,0.00041445,0.00041445,0.00041445
2,82.3378,1.83117,2.26143,0.00823,0.39128,0.51365,0.41809,0.18013,1.84074,2.23491,0.01084,0.00080369,0.00080369,0.00080369
3,120.968,1.82298,2.03843,0.00812,0.45737,0.54182,0.46283,0.20093,1.9429,1.99498,0.01141,0.00116543,0.00116543,0.00116543
4,159.219,1.82372,1.97489,0.00816,0.44453,0.59015,0.47194,0.21971,1.83121,1.87465,0.01066,0.00112625,0.00112625,0.00112625
5,206.174,1.80476,1.86261,0.008,0.45575,0.5356,0.47943,0.22577,1.87565,1.81762,0.01102,0.001085,0.001085,0.001085
6,287.006,1.78439,1.81827,0.00785,0.50165,0.54308,0.49439,0.22918,1.84632,1.77983,0.01079,0.00104375,0.00104375,0.00104375
7,360.402,1.77744,1.73769,0.00784,0.47596,0.5668,0.50447,0.22703,1.90191,1.72344,0.01103,0.0010025,0.0010025,0.0010025
8,400.957,1.78101,1.71956,0.00786,0.45144,0.55535,0.47226,0.22266,1.81962,1.76075,0.01066,0.00096125,0.00096125,0.00096125
9,439.214,1.76717,1.66797,0.00773,0.48791,0.58751,0.51445,0.23399,1.86752,1.68886,0.01101,0.00092,0.00092,0.00092
10,477.738,1.76713,1.67134,0.0078,0.50481,0.58489,0.51862,0.241,1.85582,1.68485,0.01084,0.00087875,0.00087875,0.00087875
11,516.066,1.7551,1.63347,0.00769,0.50307,0.57724,0.52619,0.24275,1.87784,1.58902,0.01104,0.0008375,0.0008375,0.0008375
12,554.325,1.73581,1.60081,0.00779,0.46833,0.58028,0.49711,0.23405,1.84879,1.67509,0.01096,0.00079625,0.00079625,0.00079625
13,592.416,1.74866,1.58924,0.00758,0.50345,0.56232,0.50874,0.23445,1.89109,1.64663,0.01099,0.000755,0.000755,0.000755
14,630.722,1.73684,1.53377,0.00762,0.50959,0.57418,0.49801,0.23484,1.87827,1.61898,0.01101,0.00071375,0.00071375,0.00071375
15,669.06,1.73679,1.55209,0.00765,0.50676,0.57941,0.52094,0.2447,1.88352,1.60681,0.01109,0.0006725,0.0006725,0.0006725
16,707.244,1.71508,1.51698,0.00745,0.50322,0.55487,0.49762,0.23821,1.86108,1.66403,0.01081,0.00063125,0.00063125,0.00063125
17,745.439,1.69969,1.51711,0.00747,0.50998,0.57154,0.5126,0.24329,1.83494,1.63536,0.01073,0.00059,0.00059,0.00059
18,783.654,1.70074,1.47868,0.00743,0.48056,0.56353,0.48511,0.22715,1.86878,1.65993,0.01094,0.00054875,0.00054875,0.00054875
19,821.882,1.68979,1.4345,0.00739,0.5106,0.59046,0.50886,0.23553,1.89245,1.6348,0.01106,0.0005075,0.0005075,0.0005075
20,860.129,1.67327,1.43875,0.00723,0.51059,0.57038,0.51133,0.2334,1.90038,1.61358,0.01116,0.00046625,0.00046625,0.00046625
21,901.882,1.69601,1.34082,0.00883,0.49262,0.58714,0.51755,0.24042,1.8744,1.6255,0.01097,0.000425,0.000425,0.000425
22,937.85,1.67601,1.31235,0.0087,0.50101,0.56075,0.50579,0.2397,1.86505,1.63278,0.0109,0.00038375,0.00038375,0.00038375
23,973.683,1.65069,1.29845,0.00853,0.51129,0.58475,0.51312,0.23968,1.89891,1.59361,0.01102,0.0003425,0.0003425,0.0003425
