/workspace/project-expertise/pipeline-pertandan/scripts/reid_pertandan.py:202: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:835.)
  tot += float(L); nb += 1
membangun potongan 128x128 (sekali, lalu di-cache)...
  18540 potongan
fold 1/2: melatih di 358 pohon (menahan 358)
  epoch 1/30  loss 5.0027  (6s)
  epoch 2/30  loss 3.9527  (10s)
  epoch 3/30  loss 3.1743  (15s)
  epoch 4/30  loss 2.5842  (21s)
  epoch 5/30  loss 2.1805  (25s)
  epoch 6/30  loss 1.7852  (30s)
  epoch 7/30  loss 1.4088  (35s)
  epoch 8/30  loss 1.1695  (40s)
  epoch 9/30  loss 1.0315  (45s)
  epoch 10/30  loss 0.8370  (49s)
  epoch 11/30  loss 0.6945  (54s)
  epoch 12/30  loss 0.6036  (59s)
  epoch 13/30  loss 0.5115  (64s)
  epoch 14/30  loss 0.4686  (69s)
  epoch 15/30  loss 0.4370  (73s)
  epoch 16/30  loss 0.4062  (78s)
  epoch 17/30  loss 0.3889  (83s)
  epoch 18/30  loss 0.3861  (88s)
  epoch 19/30  loss 0.3560  (93s)
  epoch 20/30  loss 0.3546  (97s)
  epoch 21/30  loss 0.3502  (102s)
  epoch 22/30  loss 0.3375  (106s)
  epoch 23/30  loss 0.3320  (111s)
  epoch 24/30  loss 0.3322  (116s)
  epoch 25/30  loss 0.3264  (120s)
  epoch 26/30  loss 0.3216  (125s)
  epoch 27/30  loss 0.3244  (129s)
  epoch 28/30  loss 0.3225  (134s)
  epoch 29/30  loss 0.3257  (139s)
  epoch 30/30  loss 0.3249  (143s)
-> /workspace/project-expertise/pipeline-pertandan/runs/reid_resnet18_f1/best.pt  &  reid_embedding_f1.npz
