model,epoch,loss
C2,1,0.778896
C2,2,0.64989
C2,3,0.537054
C2,4,0.381114
C2,5,0.265287
C2,6,0.173511
C2,7,0.127616
C2,8,0.08394
C2,9,0.068476
C2,10,0.056353
C2,11,0.038185
C2,12,0.032909
C2,13,0.028327
C2,14,0.017178
C2,15,0.015708
C2,16,0.018137
C2,17,0.013144
C2,18,0.008934
C2,19,0.006765
C2,20,0.006696
C2,21,0.008012
C2,22,0.004561
C2,23,0.004655
C2,24,0.004324
C2,25,0.004998
C3,1,0.783558
C3,2,0.640589
C3,3,0.542292
C3,4,0.444656
C3,5,0.353032
C3,6,0.248158
C3,7,0.176561
C3,8,0.129193
C3,9,0.096158
C3,10,0.079078
C3,11,0.06495
C3,12,0.041563
C3,13,0.040519
C3,14,0.021499
C3,15,0.02717
C3,16,0.014031
C3,17,0.008838
C3,18,0.006867
C3,19,0.009054
C3,20,0.005929
C3,21,0.004573
C3,22,0.002653
C3,23,0.004409
C3,24,0.002351
C3,25,0.00233
