model,epoch,loss
C2,1,0.79257
C2,2,0.651718
C2,3,0.542971
C2,4,0.412102
C2,5,0.269503
C2,6,0.17681
C2,7,0.136689
C2,8,0.087865
C2,9,0.074883
C2,10,0.049347
C2,11,0.047227
C2,12,0.032112
C2,13,0.027062
C2,14,0.021697
C2,15,0.018245
C2,16,0.013513
C2,17,0.011849
C2,18,0.009596
C2,19,0.010061
C2,20,0.006106
C2,21,0.00698
C2,22,0.00564
C2,23,0.006561
C2,24,0.004077
C2,25,0.00563
C3,1,0.786853
C3,2,0.632992
C3,3,0.543688
C3,4,0.432799
C3,5,0.329255
C3,6,0.245801
C3,7,0.176614
C3,8,0.128775
C3,9,0.09131
C3,10,0.063721
C3,11,0.056358
C3,12,0.048457
C3,13,0.034388
C3,14,0.020755
C3,15,0.013264
C3,16,0.018001
C3,17,0.010996
C3,18,0.006329
C3,19,0.005755
C3,20,0.002913
C3,21,0.003164
C3,22,0.002413
C3,23,0.001743
C3,24,0.002643
C3,25,0.001599
