model,epoch,loss
C2,1,0.387736
C2,2,0.356649
C2,3,0.336845
C2,4,0.312494
C2,5,0.292822
C2,6,0.277374
C2,7,0.263679
C2,8,0.25213
C2,9,0.24495
C2,10,0.236132
C2,11,0.230749
C2,12,0.22326
C2,13,0.217383
C2,14,0.213538
C2,15,0.210663
C2,16,0.207809
C2,17,0.204995
C2,18,0.202221
C2,19,0.200916
C2,20,0.199876
C2,21,0.199092
C2,22,0.198104
C2,23,0.197988
C2,24,0.197982
C2,25,0.197628
C3,1,0.379412
C3,2,0.342733
C3,3,0.317753
C3,4,0.293975
C3,5,0.274997
C3,6,0.252715
C3,7,0.240348
C3,8,0.225276
C3,9,0.208974
C3,10,0.199425
C3,11,0.191156
C3,12,0.182643
C3,13,0.175179
C3,14,0.167398
C3,15,0.163249
C3,16,0.159577
C3,17,0.155038
C3,18,0.151419
C3,19,0.148791
C3,20,0.146664
C3,21,0.145692
C3,22,0.143834
C3,23,0.14358
C3,24,0.143295
C3,25,0.142953
