model,epoch,loss
C2,1,0.388044
C2,2,0.356858
C2,3,0.335328
C2,4,0.310732
C2,5,0.290376
C2,6,0.275038
C2,7,0.262884
C2,8,0.255021
C2,9,0.244521
C2,10,0.236576
C2,11,0.230633
C2,12,0.225845
C2,13,0.217768
C2,14,0.212811
C2,15,0.209951
C2,16,0.207212
C2,17,0.20392
C2,18,0.202686
C2,19,0.201296
C2,20,0.199614
C2,21,0.19868
C2,22,0.198163
C2,23,0.197444
C2,24,0.19759
C2,25,0.197576
C3,1,0.380776
C3,2,0.341574
C3,3,0.318123
C3,4,0.295095
C3,5,0.272981
C3,6,0.252099
C3,7,0.237827
C3,8,0.223973
C3,9,0.206585
C3,10,0.200637
C3,11,0.191203
C3,12,0.182297
C3,13,0.17552
C3,14,0.168598
C3,15,0.163131
C3,16,0.157677
C3,17,0.153325
C3,18,0.150939
C3,19,0.148814
C3,20,0.146413
C3,21,0.14494
C3,22,0.144014
C3,23,0.143507
C3,24,0.143415
C3,25,0.142878
