model,epoch,loss
C2,1,0.865776
C2,2,0.696933
C2,3,0.613563
C2,4,0.515361
C2,5,0.416797
C2,6,0.325887
C2,7,0.232707
C2,8,0.179804
C2,9,0.136769
C2,10,0.098713
C2,11,0.075295
C2,12,0.054468
C2,13,0.033704
C2,14,0.026695
C2,15,0.018013
C2,16,0.015107
C2,17,0.008524
C2,18,0.006042
C2,19,0.003986
C2,20,0.003811
C2,21,0.002393
C2,22,0.002138
C2,23,0.001981
C2,24,0.001867
C2,25,0.001882
C3,1,0.848118
C3,2,0.714163
C3,3,0.675563
C3,4,0.634196
C3,5,0.581896
C3,6,0.52673
C3,7,0.453089
C3,8,0.388575
C3,9,0.306402
C3,10,0.24069
C3,11,0.196611
C3,12,0.150339
C3,13,0.115036
C3,14,0.084392
C3,15,0.048831
C3,16,0.045184
C3,17,0.032697
C3,18,0.01747
C3,19,0.012371
C3,20,0.009133
C3,21,0.00892
C3,22,0.004082
C3,23,0.005007
C3,24,0.004311
C3,25,0.003216
