model,epoch,loss
C2,1,0.860475
C2,2,0.695911
C2,3,0.602352
C2,4,0.505509
C2,5,0.400526
C2,6,0.299933
C2,7,0.23697
C2,8,0.181324
C2,9,0.128948
C2,10,0.090804
C2,11,0.066768
C2,12,0.044935
C2,13,0.038947
C2,14,0.026976
C2,15,0.015496
C2,16,0.010626
C2,17,0.008346
C2,18,0.00475
C2,19,0.004692
C2,20,0.003777
C2,21,0.00267
C2,22,0.002283
C2,23,0.001983
C2,24,0.00177
C2,25,0.00191
C3,1,0.852326
C3,2,0.726166
C3,3,0.664577
C3,4,0.639937
C3,5,0.58062
C3,6,0.521939
C3,7,0.456677
C3,8,0.408825
C3,9,0.301615
C3,10,0.263804
C3,11,0.180464
C3,12,0.148909
C3,13,0.114413
C3,14,0.085166
C3,15,0.053671
C3,16,0.043176
C3,17,0.029615
C3,18,0.026507
C3,19,0.019715
C3,20,0.010173
C3,21,0.008252
C3,22,0.006553
C3,23,0.004612
C3,24,0.003124
C3,25,0.003316
