model,epoch,loss
C2,1,0.413847
C2,2,0.371586
C2,3,0.350598
C2,4,0.333576
C2,5,0.316112
C2,6,0.299442
C2,7,0.283097
C2,8,0.271999
C2,9,0.262891
C2,10,0.250626
C2,11,0.24049
C2,12,0.232861
C2,13,0.22675
C2,14,0.221597
C2,15,0.21827
C2,16,0.212146
C2,17,0.2094
C2,18,0.206958
C2,19,0.204508
C2,20,0.202994
C2,21,0.201966
C2,22,0.200761
C2,23,0.200805
C2,24,0.20017
C2,25,0.201169
C3,1,0.393231
C3,2,0.359671
C3,3,0.344368
C3,4,0.326662
C3,5,0.311713
C3,6,0.300178
C3,7,0.281441
C3,8,0.266607
C3,9,0.249484
C3,10,0.234444
C3,11,0.221697
C3,12,0.211332
C3,13,0.195505
C3,14,0.18752
C3,15,0.177143
C3,16,0.170849
C3,17,0.163724
C3,18,0.160235
C3,19,0.156214
C3,20,0.153901
C3,21,0.152219
C3,22,0.150897
C3,23,0.149778
C3,24,0.14889
C3,25,0.149191
