model,epoch,loss
C2,1,0.412311
C2,2,0.370321
C2,3,0.350123
C2,4,0.333715
C2,5,0.31475
C2,6,0.298567
C2,7,0.285136
C2,8,0.273509
C2,9,0.258321
C2,10,0.251195
C2,11,0.243331
C2,12,0.234362
C2,13,0.227903
C2,14,0.221408
C2,15,0.217778
C2,16,0.21454
C2,17,0.211065
C2,18,0.207279
C2,19,0.207184
C2,20,0.203695
C2,21,0.203295
C2,22,0.202284
C2,23,0.201297
C2,24,0.20084
C2,25,0.200848
C3,1,0.395973
C3,2,0.360212
C3,3,0.342267
C3,4,0.329542
C3,5,0.312904
C3,6,0.298849
C3,7,0.283798
C3,8,0.26707
C3,9,0.248936
C3,10,0.2373
C3,11,0.223736
C3,12,0.211009
C3,13,0.200416
C3,14,0.191004
C3,15,0.179133
C3,16,0.172057
C3,17,0.167202
C3,18,0.160568
C3,19,0.159118
C3,20,0.155343
C3,21,0.153077
C3,22,0.151121
C3,23,0.150322
C3,24,0.150033
C3,25,0.149982
