epoch,loss,auc_val
1,0.699424,0.9002
2,0.474615,0.9105
3,0.449645,0.9181
4,0.441819,0.9274
5,0.439689,0.9235
6,0.414845,0.9342
7,0.395408,0.9281
8,0.385975,0.9395
9,0.373703,0.9368
10,0.373624,0.9342
11,0.351083,0.9366
12,0.346808,0.9378
13,0.336513,0.934
14,0.330559,0.9334
15,0.322169,0.9407
16,0.324705,0.9337
17,0.309919,0.9422
18,0.301434,0.9369
19,0.2974,0.9374
20,0.283878,0.9377
21,0.272553,0.9311
22,0.271062,0.934
23,0.255004,0.9376
24,0.246248,0.9364
25,0.246494,0.935
26,0.233419,0.9391
27,0.22079,0.9304
28,0.215801,0.936
29,0.204622,0.9342
30,0.194803,0.9329
31,0.187623,0.9334
32,0.17994,0.9323
33,0.173923,0.9305
34,0.168836,0.9302
35,0.164608,0.9303
36,0.161085,0.9296
37,0.158624,0.9291
38,0.156649,0.9291
39,0.155516,0.9291
40,0.154985,0.9291
