epoch,loss,auc_val
1,0.969857,0.9382
2,0.675132,0.9458
3,0.624735,0.9504
4,0.626824,0.9476
5,0.612243,0.9521
6,0.571694,0.9555
7,0.551889,0.9535
8,0.547476,0.9558
9,0.528783,0.9562
10,0.518105,0.9564
11,0.509497,0.9555
12,0.517804,0.9585
13,0.503766,0.9547
14,0.501164,0.957
15,0.48265,0.9562
16,0.475622,0.9567
17,0.4772,0.9557
18,0.468818,0.9582
19,0.455475,0.9551
20,0.453765,0.9559
21,0.444202,0.9562
22,0.42527,0.9573
23,0.420929,0.9564
24,0.413084,0.9552
25,0.399654,0.9573
26,0.390631,0.9549
27,0.376281,0.9553
28,0.374148,0.9564
29,0.367989,0.9527
30,0.354607,0.9539
31,0.345954,0.9543
32,0.333972,0.9548
33,0.324695,0.955
34,0.319175,0.9537
35,0.312434,0.9541
36,0.307549,0.9529
37,0.3042,0.9531
38,0.301205,0.9533
39,0.299288,0.9532
40,0.298381,0.9532
