       1/60      11.9G      3.172      44.82    0.01334         11       1280: 0% ──────────── 0/245  7.1s
       2/60      12.4G      1.982      4.131    0.01255         14       1280: 0% ──────────── 0/245  0.6s
       3/60      12.4G      2.027      3.063   0.009333         17       1280: 0% ──────────── 0/245  0.6s
       4/60      12.4G      1.959      2.883    0.01136         12       1280: 0% ──────────── 0/245  0.6s
       5/60      12.4G      2.534      3.344    0.01766          7       1280: 0% ──────────── 0/245  0.6s
       6/60      12.4G      2.045      2.842    0.01117          6       1280: 0% ──────────── 0/245  0.6s
       7/60      12.3G      2.452      3.115     0.0188          8       1280: 0% ──────────── 0/245  0.6s
       8/60      12.4G      2.137      2.227     0.0109         18       1280: 0% ──────────── 0/245  0.6s
       9/60      12.4G      2.584      2.653    0.02087          6       1280: 0% ──────────── 0/245  0.7s
      10/60      12.4G      1.926      2.317   0.009117         16       1280: 0% ──────────── 0/245  0.7s
      11/60      12.4G      2.322      1.788    0.01429         13       1280: 0% ──────────── 0/245  0.6s
      12/60      12.4G      2.432      2.382    0.01541         16       1280: 0% ──────────── 0/245  0.6s
      13/60      12.4G      1.841      1.554    0.01216          8       1280: 0% ──────────── 0/245  0.6s
      14/60      12.4G      1.808      1.953    0.00857         11       1280: 0% ──────────── 0/245  0.6s
      15/60      12.4G      2.136      2.468    0.01443         10       1280: 0% ──────────── 0/245  0.8s
      16/60      12.4G      1.866      2.111   0.009549         18       1280: 0% ──────────── 0/245  0.7s
      17/60      12.4G      2.158      1.534    0.01659         17       1280: 0% ──────────── 0/245  0.7s
      18/60      12.4G      1.825      2.322    0.01229         10       1280: 0% ──────────── 0/245  0.7s
      19/60      12.4G      1.855      1.277   0.009444         10       1280: 0% ──────────── 0/245  0.7s
      20/60      12.4G      2.104       1.64    0.01133         15       1280: 0% ──────────── 0/245  0.7s
      21/60      12.4G      2.023      3.173    0.01341         11       1280: 0% ──────────── 0/245  0.6s
      22/60      12.4G      2.392      2.337    0.01273         17       1280: 0% ──────────── 0/245  0.6s
      23/60      12.3G       2.06      1.899   0.009363         11       1280: 0% ──────────── 0/245  0.6s
      24/60      12.4G      1.813      1.782   0.008245         13       1280: 0% ──────────── 0/245  0.6s
      25/60      12.4G      1.516       2.33   0.009042          8       1280: 0% ──────────── 0/245  0.6s
      26/60      12.4G      1.704      1.497   0.006539          8       1280: 0% ──────────── 0/245  0.7s
      27/60      12.4G      2.064      2.076   0.008863         20       1280: 0% ──────────── 0/245  0.6s
      28/60      12.4G      1.518      2.124    0.01038          8       1280: 0% ──────────── 0/245  0.7s
      29/60      12.4G      1.707      2.015   0.008856         11       1280: 0% ──────────── 0/245  0.8s
      30/60      12.4G      1.976      2.075      0.009          8       1280: 0% ──────────── 0/245  0.7s
      31/60      12.4G      1.791      1.685     0.0106          7       1280: 0% ──────────── 0/245  0.6s
      32/60      12.4G      1.873      2.155   0.009423         12       1280: 0% ──────────── 0/245  0.6s
      33/60      12.4G       1.64      2.431   0.009976          6       1280: 0% ──────────── 0/245  0.6s
      34/60      12.4G      1.593      1.395   0.008865         18       1280: 0% ──────────── 0/245  0.6s
      35/60      12.4G      1.966      1.589   0.007857         21       1280: 0% ──────────── 0/245  0.6s
      36/60      12.4G      1.923      1.441    0.01133         10       1280: 0% ──────────── 0/245  0.6s
      37/60      12.4G      1.636      1.448     0.0101         14       1280: 0% ──────────── 0/245  0.6s
      38/60      12.4G      1.768      1.365   0.009027         13       1280: 0% ──────────── 0/245  0.6s
      39/60      12.3G      2.219      1.642   0.008813         13       1280: 0% ──────────── 0/245  0.7s
      40/60      12.4G      1.746      1.174   0.007241         11       1280: 0% ──────────── 0/245  0.6s
      41/60      12.4G      1.579      2.002   0.006909         14       1280: 0% ──────────── 0/245  0.6s
      42/60      12.4G      1.769      2.012   0.009914         11       1280: 0% ──────────── 0/245  0.7s
      43/60      12.4G      1.764      1.943    0.01168          8       1280: 0% ──────────── 0/245  0.6s
      44/60      12.4G      2.201      1.351    0.01303         10       1280: 0% ──────────── 0/245  0.6s
      45/60      12.4G      1.432     0.5132   0.007833         12       1280: 0% ──────────── 0/245  0.6s
      46/60      12.4G       1.71       1.29    0.01103          8       1280: 0% ──────────── 0/245  0.6s
      47/60      12.4G      1.426      1.149    0.01086          7       1280: 0% ──────────── 0/245  0.6s
      48/60      12.4G      1.491     0.6648    0.01486          7       1280: 0% ──────────── 0/245  0.6s
      49/60      12.4G      1.553      1.112   0.008912         15       1280: 0% ──────────── 0/245  0.6s
      50/60      12.4G      1.659     0.6377     0.0104          7       1280: 0% ──────────── 0/245  0.6s
      51/60      12.4G      1.544     0.4116   0.008888          5       1280: 0% ──────────── 0/245  1.3s
      52/60      12.4G      1.536      1.077    0.01185          7       1280: 0% ──────────── 0/245  0.6s
      53/60      12.4G      1.618     0.5625   0.008437          8       1280: 0% ──────────── 0/245  0.6s
      54/60      12.4G      1.233     0.4338   0.008809          8       1280: 0% ──────────── 0/245  0.6s
      55/60      12.3G      1.372      1.058   0.005642          6       1280: 0% ──────────── 0/245  0.6s
      56/60      12.4G      1.062      1.603   0.006589          7       1280: 0% ──────────── 0/245  0.6s
      57/60      12.4G        2.2     0.5912    0.01573          4       1280: 0% ──────────── 0/245  0.6s
      58/60      12.4G      1.556     0.8739   0.006831          7       1280: 0% ──────────── 0/245  0.7s
      59/60      12.4G       1.87     0.7807    0.01621          6       1280: 0% ──────────── 0/245  0.6s
      60/60      12.4G       1.66     0.9266    0.00878         11       1280: 0% ──────────── 0/245  0.6s
