epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/B1,val/AP/B2,val/AP/B3,val/AP/B4,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,3.6567165807355195e-05,3.6567165807355195e-05,1.1820570762210991e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,7.388059748336673e-05,7.388059748336673e-05,2.388237817285699e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,133,,,,,,,,,,,,,,,,,,,,,,,,,,0.05418386310338974,0.11183077096939087,0.15265965461730957,0.03058934397995472,0.22720082104206085,298.0876159667969,298.0897521972656,298.0897521972656,298.0897521972656,298.0897521972656,59.05784606933594,0.27283167839050293,0.09347791969776154,0.45739156007766724,10.178157806396484,0.06649833172559738,0.0719875618815422,0.07005035877227783,0.06590642035007477,0.06969017535448074,1.0484226942062378,1.0100829601287842,1.0235625505447388,1.0579886436462402,1.0106879472732544,0.3262125551700592,0.3406170904636383,0.33406862616539,0.3227863609790802,0.3296903371810913,0.2670276463031769,0.08731590956449509,0.024223044514656067,0.44832712411880493,0.25331100821495056,0.35979437828063965
0,133,3894.458984375,3896.274169921875,3889.319580078125,3894.075439453125,3897.023681640625,55.47163772583008,10.999903678894043,0.08567952364683151,0.08932173252105713,0.08758726716041565,0.08513839542865753,0.09024250507354736,1.021573781967163,1.010987639427185,1.0115679502487183,1.0244497060775757,1.007322907447815,0.369553804397583,0.3773841857910156,0.37563562393188477,0.3678782880306244,0.37662431597709656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,149,,,,,,,,,,,,,,,,,,,,,,,9.999152098316699e-05,9.999152098316699e-05,3.2322900551662315e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,199,,,,,,,,,,,,,,,,,,,,,,,9.984087228076532e-05,9.984087228076532e-05,3.2274201657855883e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,,,,,,,,,,,,,9.950246021617204e-05,9.950246021617204e-05,3.216480990886339e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,267,,,,,,,,,,,,,,,,,,,,,,,,,,0.22039538621902466,0.18805651366710663,0.21189208328723907,0.037479251623153687,0.4473208785057068,298.0897521972656,298.0897521972656,298.0897521972656,298.0897521972656,298.0897521972656,33.07499313354492,0.4775022864341736,0.17459984123706818,0.5046176314353943,9.611343383789062,0.06848321110010147,0.0682026743888855,0.06700573116540909,0.06719838827848434,0.06444884091615677,0.9181569218635559,0.9377955198287964,0.9298745393753052,0.9329381585121155,0.9795668125152588,0.32662612199783325,0.3290599584579468,0.3241376578807831,0.3220142424106598,0.31632307171821594,0.4666231870651245,0.1644558161497116,0.05290583521127701,0.5017487406730652,0.43851178884506226,0.5234301090240479
1,267,3898.1328125,3897.59521484375,3898.098388671875,3898.131103515625,3898.1337890625,43.36509323120117,10.129555702209473,0.07647985219955444,0.08037599921226501,0.07793987542390823,0.0768778920173645,0.07714494317770004,0.9700661301612854,0.9666453003883362,0.9645673632621765,0.9685012102127075,0.9876596331596375,0.33042779564857483,0.33886387944221497,0.33262407779693604,0.3307135999202728,0.3313843011856079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,299,,,,,,,,,,,,,,,,,,,,,,,9.897758718580008e-05,9.897758718580008e-05,3.1995141398510896e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,349,,,,,,,,,,,,,,,,,,,,,,,9.826824680203572e-05,9.826824680203572e-05,3.176584186803666e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,399,,,,,,,,,,,,,,,,,,,,,,,9.737713116919622e-05,9.737713116919622e-05,3.147778215861763e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,401,,,,,,,,,,,,,,,,,,,,,,,,,,0.2606227397918701,0.20877064764499664,0.1967342495918274,0.055577803403139114,0.46549925208091736,298.0897521972656,298.0897521972656,298.0790710449219,298.0726623535156,298.0897521972656,31.6737117767334,0.5111256837844849,0.188372403383255,0.49054861068725586,9.47364330291748,0.06799410283565521,0.0670963004231453,0.06878148764371872,0.06835343688726425,0.06831905245780945,0.8785673379898071,0.9128344058990479,0.8769994974136353,0.8721932768821716,0.8995277881622314,0.3329480290412903,0.3302186131477356,0.3347271680831909,0.3325696885585785,0.33493709564208984,0.5015223622322083,0.18042635917663574,0.0815749317407608,0.46685734391212463,0.5079088807106018,0.5281636714935303
2,401,3898.1259765625,3897.26171875,3898.027587890625,3898.004638671875,3898.130615234375,33.47200393676758,9.804659843444824,0.075250044465065,0.07754222303628922,0.07664017379283905,0.07540621608495712,0.07830961793661118,0.9112370014190674,0.9286413192749023,0.907349169254303,0.9113467335700989,0.9349316358566284,0.3265061378479004,0.33053550124168396,0.3287104368209839,0.3263140916824341,0.33563998341560364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,449,,,,,,,,,,,,,,,,,,,,,,,9.63076381594874e-05,9.63076381594874e-05,3.1132060485106194e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,499,,,,,,,,,,,,,,,,,,,,,,,9.506382775725797e-05,9.506382775725797e-05,3.0729993341083173e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,535,,,,,,,,,,,,,,,,,,,,,,,,,,0.26110583543777466,0.21869732439517975,0.20174695551395416,0.07122770696878433,0.5218856334686279,298.0897521972656,298.0897521972656,298.0812072753906,298.0897521972656,298.0897521972656,26.9506893157959,0.5362111330032349,0.1987815946340561,0.48884913325309753,9.292518615722656,0.0683993399143219,0.06876436620950699,0.0678919181227684,0.06758910417556763,0.06853193044662476,0.8543537259101868,0.8773406147956848,0.8613576889038086,0.858390212059021,0.8744199275970459,0.3262779116630554,0.32745420932769775,0.32561931014060974,0.32418590784072876,0.3268490731716156,0.5290297269821167,0.18819445371627808,0.06454183161258698,0.47338220477104187,0.581440269947052,0.5332328677177429
3,535,3898.07080078125,3897.046142578125,3897.6767578125,3897.908935546875,3898.13427734375,27.202037811279297,9.560067176818848,0.07426699250936508,0.07568489760160446,0.07514085620641708,0.07429702579975128,0.07728143036365509,0.8707495927810669,0.8914764523506165,0.8712612390518188,0.8718010187149048,0.8950545191764832,0.3245464861392975,0.32820960879325867,0.32613691687583923,0.3243972957134247,0.3348960876464844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,549,,,,,,,,,,,,,,,,,,,,,,,9.365044388687238e-05,9.365044388687238e-05,3.0273108677647542e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,599,,,,,,,,,,,,,,,,,,,,,,,9.207286348100752e-05,9.207286348100752e-05,2.976314362967969e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,649,,,,,,,,,,,,,,,,,,,,,,,9.033708920469508e-05,9.033708920469508e-05,2.9202042242104653e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,669,,,,,,,,,,,,,,,,,,,,,,,,,,0.27408164739608765,0.23689250648021698,0.2317899614572525,0.09049740433692932,0.5531982779502869,298.0897521972656,298.0876159667969,298.05767822265625,298.0854797363281,298.0897521972656,31.214923858642578,0.5572564601898193,0.2065373957157135,0.4943726360797882,9.257609367370605,0.06563869118690491,0.06818392127752304,0.06740295886993408,0.06657698005437851,0.06884601712226868,0.8708176016807556,0.8725746870040894,0.8663569688796997,0.8722730278968811,0.8827750086784363,0.31626567244529724,0.32221683859825134,0.32252639532089233,0.318200945854187,0.32557398080825806,0.5518137812614441,0.20831537246704102,0.10118719935417175,0.5032378435134888,0.5439190864562988,0.5768765807151794
4,669,3898.0625,3896.2314453125,3897.13525390625,3897.859130859375,3898.130615234375,27.43552589416504,9.52892017364502,0.07510381937026978,0.07626695930957794,0.07620739936828613,0.07513067871332169,0.07800818234682083,0.8655712008476257,0.8824871182441711,0.864141047000885,0.8664372563362122,0.8861222267150879,0.32335853576660156,0.3249448537826538,0.32552677392959595,0.32333025336265564,0.3331279456615448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,699,,,,,,,,,,,,,,,,,,,,,,,8.844972035149112e-05,8.844972035149112e-05,2.8591939553734846e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,749,,,,,,,,,,,,,,,,,,,,,,,8.641793829156086e-05,8.641793829156086e-05,2.793515477605979e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,799,,,,,,,,,,,,,,,,,,,,,,,8.424948464380577e-05,8.424948464380577e-05,2.7234186745772604e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803,,,,,,,,,,,,,,,,,,,,,,,,,,0.25880593061447144,0.2332940399646759,0.21226902306079865,0.08363015949726105,0.5576513409614563,298.0897521972656,298.0854797363281,298.0726623535156,298.0769348144531,298.0897521972656,26.589723587036133,0.5510252118110657,0.20598174631595612,0.49348142743110657,9.34962272644043,0.07051502168178558,0.06927978992462158,0.06908459961414337,0.06982853263616562,0.07093242555856705,0.8421339988708496,0.866409182548523,0.8483368754386902,0.8481446504592896,0.8710808157920837,0.33331045508384705,0.33074983954429626,0.32978034019470215,0.33155936002731323,0.3372561037540436,0.5495818257331848,0.19699978828430176,0.08375352621078491,0.4839320778846741,0.5872622728347778,0.5721030831336975
5,803,3898.112060546875,3896.846923828125,3896.99072265625,3897.966796875,3898.1328125,23.76974868774414,9.346960067749023,0.07390150427818298,0.07622092962265015,0.0755673199892044,0.07425053417682648,0.07798920571804047,0.8436390161514282,0.8554888367652893,0.8402025699615479,0.8424299955368042,0.8558238744735718,0.3170161545276642,0.322303831577301,0.32149219512939453,0.31773680448532104,0.33131226897239685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,849,,,,,,,,,,,,,,,,,,,,,,,8.195261034416035e-05,8.195261034416035e-05,2.6491707103559747e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,899,,,,,,,,,,,,,,,,,,,,,,,7.953603926580399e-05,7.953603926580399e-05,2.5710535282996716e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,937,,,,,,,,,,,,,,,,,,,,,,,,,,0.2679838240146637,0.2538717985153198,0.22317148745059967,0.09148653596639633,0.5827541351318359,298.0897521972656,298.0897521972656,298.02349853515625,298.01708984375,298.0897521972656,22.972017288208008,0.5610675811767578,0.20866523683071136,0.48726886510849,9.187034606933594,0.0681467354297638,0.07093248516321182,0.06942646205425262,0.06824059039354324,0.0699806958436966,0.8321080803871155,0.8339616656303406,0.8331653475761414,0.8355787396430969,0.833743155002594,0.32582077383995056,0.3326219320297241,0.32778090238571167,0.3253142237663269,0.3308829069137573,0.5782073736190796,0.20912842452526093,0.0877269059419632,0.48016858100891113,0.617009162902832,0.5602191090583801
6,937,3898.09228515625,3897.17724609375,3897.569091796875,3897.768310546875,3898.125,21.79181671142578,9.179335594177246,0.07193382829427719,0.07387664914131165,0.0727350115776062,0.0718853548169136,0.07630684226751328,0.8263779282569885,0.8360005617141724,0.8268130421638489,0.82874995470047,0.8342118263244629,0.3156484365463257,0.31955304741859436,0.3168911933898926,0.315015971660614,0.3296395540237427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,949,,,,,,,,,,,,,,,,,,,,,,,7.700898277107626e-05,7.700898277107626e-05,2.489364760549506e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,999,,,,,,,,,,,,,,,,,,,,,,,7.438105239998549e-05,7.438105239998549e-05,2.404415454293485e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1049,,,,,,,,,,,,,,,,,,,,,,,7.166225259425119e-05,7.166225259425119e-05,2.3165282527770614e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1071,,,,,,,,,,,,,,,,,,,,,,,,,,0.28278499841690063,0.25768375396728516,0.2261098176240921,0.08691142499446869,0.5757179856300354,298.0876159667969,298.06195068359375,298.00213623046875,298.0662536621094,298.0897521972656,23.41512107849121,0.5672203898429871,0.21227280795574188,0.49417605996131897,9.15007209777832,0.06783267110586166,0.06846074759960175,0.06846506148576736,0.06842014193534851,0.06825042515993118,0.8406914472579956,0.850500226020813,0.8371197581291199,0.8366336822509766,0.8532168865203857,0.32072851061820984,0.3217410743236542,0.32359641790390015,0.32441967725753784,0.32189586758613586,0.5694482922554016,0.21337249875068665,0.09780338406562805,0.4937136769294739,0.5744916796684265,0.5937866568565369
7,1071,3898.126953125,3897.384765625,3896.600830078125,3897.45703125,3898.126953125,20.750967025756836,9.065044403076172,0.07155957072973251,0.07303336262702942,0.07230351865291595,0.07163888216018677,0.07558753341436386,0.8147751092910767,0.8291308283805847,0.8171263337135315,0.8153614401817322,0.8254238963127136,0.31115850806236267,0.3133797347545624,0.3122684359550476,0.3112240135669708,0.3232770562171936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
