epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/B1,val/AP/B2,val/AP/B3,val/AP/B4,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,3.6567165807355195e-05,3.6567165807355195e-05,1.1820570762210991e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,7.388059748336673e-05,7.388059748336673e-05,2.388237817285699e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,133,,,,,,,,,,,,,,,,,,,,,,,,,,0.04210386797785759,0.12345502525568008,0.12520118057727814,0.01699151284992695,0.23020362854003906,298.0854797363281,298.0897521972656,298.0897521972656,298.0876159667969,298.0897521972656,54.43842315673828,0.22434461116790771,0.07112622261047363,0.46355393528938293,10.089268684387207,0.0659567266702652,0.06819266825914383,0.06629972159862518,0.06584489345550537,0.06835170835256577,1.0189427137374878,1.0032758712768555,1.0062283277511597,1.018822431564331,1.0038959980010986,0.3350676894187927,0.3388053774833679,0.33742260932922363,0.33611512184143066,0.3350263237953186,0.23283854126930237,0.07693789899349213,0.01968192681670189,0.485942542552948,0.191364124417305,0.30394119024276733
0,133,3894.16552734375,3896.38427734375,3890.3828125,3894.601318359375,3896.9267578125,58.0343017578125,11.050442695617676,0.08593136817216873,0.0910203829407692,0.08882992714643478,0.08609892427921295,0.09096607565879822,1.013143539428711,1.0054404735565186,1.0033761262893677,1.014054298400879,1.0002788305282593,0.3757375478744507,0.3853572905063629,0.3813821077346802,0.3749624192714691,0.38251832127571106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,149,,,,,,,,,,,,,,,,,,,,,,,9.999152098316699e-05,9.999152098316699e-05,3.2322900551662315e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,199,,,,,,,,,,,,,,,,,,,,,,,9.984087228076532e-05,9.984087228076532e-05,3.2274201657855883e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,,,,,,,,,,,,,9.950246021617204e-05,9.950246021617204e-05,3.216480990886339e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,267,,,,,,,,,,,,,,,,,,,,,,,,,,0.2127528339624405,0.18735823035240173,0.19393301010131836,0.04262903332710266,0.44672679901123047,298.0897521972656,298.0897521972656,298.0876159667969,298.0790710449219,298.0897521972656,34.35272979736328,0.4780559241771698,0.1660153865814209,0.49652260541915894,9.737993240356445,0.07027994096279144,0.07187308371067047,0.07034279406070709,0.06940387934446335,0.07712239027023315,0.9112061858177185,0.9308359622955322,0.9167089462280273,0.9186614751815796,0.9102837443351746,0.32911428809165955,0.33696019649505615,0.33180147409439087,0.32706961035728455,0.35264840722084045,0.4568668007850647,0.1591682732105255,0.05156312882900238,0.48354750871658325,0.5498753190040588,0.4654977023601532
1,267,3898.1455078125,3897.225830078125,3898.048583984375,3898.09521484375,3898.151123046875,44.100120544433594,10.199714660644531,0.07939362525939941,0.0800943523645401,0.0788702666759491,0.07921332120895386,0.07924260944128036,0.9525507688522339,0.9713150858879089,0.9596875309944153,0.953162670135498,0.9787613749504089,0.3402789235115051,0.3405151069164276,0.3386479616165161,0.3403964638710022,0.34024444222450256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,299,,,,,,,,,,,,,,,,,,,,,,,9.897758718580008e-05,9.897758718580008e-05,3.1995141398510896e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,349,,,,,,,,,,,,,,,,,,,,,,,9.826824680203572e-05,9.826824680203572e-05,3.176584186803666e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,399,,,,,,,,,,,,,,,,,,,,,,,9.737713116919622e-05,9.737713116919622e-05,3.147778215861763e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,401,,,,,,,,,,,,,,,,,,,,,,,,,,0.2344118058681488,0.20752239227294922,0.21726277470588684,0.07752577215433121,0.47651177644729614,298.0897521972656,298.0833435058594,298.059814453125,297.99359130859375,298.0897521972656,32.27153396606445,0.5177894234657288,0.18609480559825897,0.49990561604499817,9.512635231018066,0.07091160118579865,0.0702507346868515,0.0707157626748085,0.07165087759494781,0.07067057490348816,0.8704231381416321,0.8959108591079712,0.8725836277008057,0.8662204742431641,0.8878888487815857,0.33451107144355774,0.33307909965515137,0.3346380591392517,0.33648550510406494,0.3355909287929535,0.5366306304931641,0.18418069183826447,0.05573276802897453,0.49067261815071106,0.4955741763114929,0.6244928240776062
2,401,3898.12451171875,3896.358154296875,3897.08447265625,3897.12255859375,3898.12451171875,32.51036834716797,9.83708667755127,0.0761248841881752,0.07841417193412781,0.07703811675310135,0.07703641057014465,0.08057821542024612,0.9054252505302429,0.9205617308616638,0.9039314389228821,0.9017356634140015,0.9148395657539368,0.33018195629119873,0.3334982991218567,0.33222904801368713,0.3337235748767853,0.3426814377307892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,449,,,,,,,,,,,,,,,,,,,,,,,9.63076381594874e-05,9.63076381594874e-05,3.1132060485106194e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,499,,,,,,,,,,,,,,,,,,,,,,,9.506382775725797e-05,9.506382775725797e-05,3.0729993341083173e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,535,,,,,,,,,,,,,,,,,,,,,,,,,,0.2570251226425171,0.22080732882022858,0.1981130987405777,0.06696391105651855,0.5429756045341492,298.0897521972656,298.0854797363281,297.8995666503906,298.0384521484375,298.0897521972656,28.74199676513672,0.5477181077003479,0.19910836219787598,0.5036864280700684,9.367833137512207,0.07047569006681442,0.06844369322061539,0.07011155039072037,0.06921292841434479,0.0676492378115654,0.8606985807418823,0.880224883556366,0.8602499961853027,0.8652980327606201,0.8770195245742798,0.3346337676048279,0.3268090784549713,0.33084216713905334,0.32856670022010803,0.3265873193740845,0.5299886465072632,0.18572737276554108,0.07161558419466019,0.48017072677612305,0.5488980412483215,0.548423171043396
3,535,3898.1259765625,3896.190185546875,3894.221923828125,3897.283203125,3898.1259765625,28.804101943969727,9.71585750579834,0.07727372646331787,0.07939796149730682,0.07859879732131958,0.07767868787050247,0.08182385563850403,0.8752994537353516,0.8882986903190613,0.8749831318855286,0.8756844401359558,0.8861546516418457,0.3299758732318878,0.3338182866573334,0.33225420117378235,0.33085259795188904,0.34388402104377747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,549,,,,,,,,,,,,,,,,,,,,,,,9.365044388687238e-05,9.365044388687238e-05,3.0273108677647542e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,599,,,,,,,,,,,,,,,,,,,,,,,9.207286348100752e-05,9.207286348100752e-05,2.976314362967969e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,649,,,,,,,,,,,,,,,,,,,,,,,9.033708920469508e-05,9.033708920469508e-05,2.9202042242104653e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,669,,,,,,,,,,,,,,,,,,,,,,,,,,0.26760196685791016,0.22343379259109497,0.19732104241847992,0.08480489999055862,0.5572218894958496,298.0897521972656,297.8974304199219,297.28631591796875,297.7115478515625,298.0897521972656,26.72014045715332,0.5601532459259033,0.20600806176662445,0.49470657110214233,9.403887748718262,0.06832379847764969,0.07093101739883423,0.06962498277425766,0.0697338730096817,0.07117064297199249,0.8537297248840332,0.8616809248924255,0.8530945181846619,0.843794584274292,0.8547389507293701,0.3328585922718048,0.3413721024990082,0.3373628854751587,0.3397442400455475,0.3426261842250824,0.5400596857070923,0.19329042732715607,0.07572291791439056,0.49424687027931213,0.6036098599433899,0.5223610401153564
4,669,3898.129638671875,3895.52880859375,3889.558837890625,3896.41650390625,3898.130126953125,25.609891891479492,9.557307243347168,0.07530052959918976,0.07689554244279861,0.07620711624622345,0.07529650628566742,0.07953377813100815,0.8636803030967712,0.874199628829956,0.8602509498596191,0.8629904389381409,0.8683502674102783,0.32785314321517944,0.3303477168083191,0.3297189176082611,0.3270152509212494,0.34090009331703186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,699,,,,,,,,,,,,,,,,,,,,,,,8.844972035149112e-05,8.844972035149112e-05,2.8591939553734846e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,749,,,,,,,,,,,,,,,,,,,,,,,8.641793829156086e-05,8.641793829156086e-05,2.793515477605979e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,799,,,,,,,,,,,,,,,,,,,,,,,8.424948464380577e-05,8.424948464380577e-05,2.7234186745772604e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803,,,,,,,,,,,,,,,,,,,,,,,,,,0.2609795928001404,0.24433724582195282,0.2295474410057068,0.09076357632875443,0.5783358216285706,298.0876159667969,298.0384521484375,297.5876159667969,297.0683898925781,298.0897521972656,26.002079010009766,0.5670861005783081,0.21399417519569397,0.4957534372806549,9.24260139465332,0.06843722611665726,0.06887567043304443,0.06914377957582474,0.06908150017261505,0.07055090367794037,0.8360695242881775,0.8655837178230286,0.8397014141082764,0.8337528109550476,0.840325117111206,0.32806167006492615,0.3273336589336395,0.3275721073150635,0.3291171193122864,0.3362772762775421,0.5780525207519531,0.20640696585178375,0.09617485105991364,0.48883992433547974,0.6554775238037109,0.5313451886177063
5,803,3898.121337890625,3895.421142578125,3887.38427734375,3890.346435546875,3898.127685546875,22.80141258239746,9.331473350524902,0.07306718081235886,0.07489477097988129,0.07414916157722473,0.07387138903141022,0.07806768268346786,0.8413440585136414,0.8577739596366882,0.8398371934890747,0.8376930356025696,0.8478800058364868,0.31867703795433044,0.3230547606945038,0.32148513197898865,0.32071468234062195,0.3344166576862335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,849,,,,,,,,,,,,,,,,,,,,,,,8.195261034416035e-05,8.195261034416035e-05,2.6491707103559747e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,899,,,,,,,,,,,,,,,,,,,,,,,7.953603926580399e-05,7.953603926580399e-05,2.5710535282996716e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,937,,,,,,,,,,,,,,,,,,,,,,,,,,0.2297026365995407,0.2269395887851715,0.22955869138240814,0.09081243723630905,0.5646775364875793,298.0897521972656,297.991455078125,297.29486083984375,297.7841796875,298.0897521972656,26.210174560546875,0.5849771499633789,0.22003208100795746,0.4976210594177246,9.433279991149902,0.07239777594804764,0.07308318465948105,0.07191042602062225,0.07212898880243301,0.07405751198530197,0.8500754237174988,0.8511534333229065,0.8496592044830322,0.850183367729187,0.8548631072044373,0.3356413245201111,0.33590030670166016,0.33250898122787476,0.33456167578697205,0.34111538529396057,0.553561270236969,0.1942533403635025,0.07453340291976929,0.48928728699684143,0.586360514163971,0.5710158348083496
6,937,3898.112060546875,3893.265869140625,3890.48876953125,3891.59326171875,3898.128662109375,22.031829833984375,9.260480880737305,0.07381381839513779,0.07462178170681,0.07396594434976578,0.07399147003889084,0.07734955102205276,0.8262336850166321,0.8400763273239136,0.8282844424247742,0.8266119360923767,0.8361735939979553,0.32025113701820374,0.3221650719642639,0.3208433985710144,0.32043981552124023,0.33349987864494324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,949,,,,,,,,,,,,,,,,,,,,,,,7.700898277107626e-05,7.700898277107626e-05,2.489364760549506e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,999,,,,,,,,,,,,,,,,,,,,,,,7.438105239998549e-05,7.438105239998549e-05,2.404415454293485e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1049,,,,,,,,,,,,,,,,,,,,,,,7.166225259425119e-05,7.166225259425119e-05,2.3165282527770614e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1071,,,,,,,,,,,,,,,,,,,,,,,,,,0.2810359597206116,0.23117375373840332,0.23539330065250397,0.09953934699296951,0.5912325382232666,298.0897521972656,297.9209289550781,297.4017028808594,297.6474304199219,298.0897521972656,25.457473754882812,0.5797138214111328,0.2217530459165573,0.4993841350078583,9.206578254699707,0.06911587715148926,0.06874403357505798,0.06931842118501663,0.06933784484863281,0.06959455460309982,0.8343379497528076,0.8527242541313171,0.8341069221496582,0.8327766060829163,0.8516656160354614,0.3270905613899231,0.3238489329814911,0.32721051573753357,0.3282611668109894,0.328795850276947,0.5824048519134521,0.21178558468818665,0.08549189567565918,0.49271535873413086,0.6274979710578918,0.5671067237854004
