epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,315.089,1.03348,2.49249,0.50337,0.45483,0.32692,0.19178,0.06085,0.72297,0.89162,0.3663,0.000415889,0.000415889,0.000415889
2,617.7,0.74399,0.85736,0.31924,0.51467,0.34704,0.24939,0.08479,0.72696,0.76815,0.37534,0.000831991,0.000831991,0.000831991
3,843.34,0.73092,0.84827,0.31104,0.47765,0.32372,0.22963,0.07242,0.7272,0.81211,0.37065,0.00124584,0.00124584,0.00124584
4,1046.19,0.73295,0.81894,0.31313,0.37249,0.3869,0.29781,0.1085,0.66119,0.82937,0.33164,0.00124238,0.00124238,0.00124238
5,1248.8,0.71618,0.815,0.3103,0.56261,0.33515,0.32367,0.11628,0.65431,0.89728,0.33613,0.00123648,0.00123648,0.00123648
6,1451.47,0.69366,0.83116,0.29811,0.4843,0.42171,0.30239,0.10451,0.69278,0.75695,0.35046,0.00122892,0.00122892,0.00122892
7,1654.45,0.69989,0.78247,0.29712,0.47619,0.40105,0.36213,0.11309,0.72755,0.70213,0.38122,0.00121972,0.00121972,0.00121972
8,1857.49,0.69544,0.77454,0.29997,0.50829,0.42869,0.42434,0.14443,0.6775,0.72757,0.35724,0.0012089,0.0012089,0.0012089
9,2060.87,0.70183,0.74369,0.30429,0.43858,0.46271,0.42646,0.14929,0.68633,0.68934,0.34909,0.00119651,0.00119651,0.00119651
10,2263.38,0.68605,0.7557,0.30006,0.59609,0.43528,0.44557,0.14702,0.678,0.71326,0.34968,0.00118256,0.00118256,0.00118256
11,2466.33,0.67569,0.74394,0.29067,0.51546,0.4779,0.48126,0.16963,0.67898,0.66115,0.35557,0.0011671,0.0011671,0.0011671
12,2669.32,0.66975,0.7357,0.28527,0.48912,0.51919,0.46717,0.15398,0.70567,0.66321,0.36719,0.00115018,0.00115018,0.00115018
13,2872.36,0.67546,0.72742,0.29733,0.7041,0.4566,0.49543,0.17749,0.66062,0.6744,0.34593,0.00113183,0.00113183,0.00113183
14,3075.22,0.69049,0.70897,0.29042,0.54047,0.48255,0.45666,0.14637,0.72496,0.63439,0.37359,0.00111211,0.00111211,0.00111211
15,3278.54,0.67204,0.70553,0.29463,0.53705,0.5228,0.51421,0.18171,0.6654,0.64723,0.35331,0.00109107,0.00109107,0.00109107
16,3482.01,0.67503,0.69763,0.29256,0.51547,0.5265,0.48266,0.16699,0.68947,0.6633,0.35835,0.00106877,0.00106877,0.00106877
17,3685.82,0.67399,0.69853,0.2871,0.56803,0.48456,0.5008,0.17745,0.68288,0.63411,0.35512,0.00104527,0.00104527,0.00104527
18,3889.22,0.66187,0.69669,0.28391,0.5366,0.47061,0.45077,0.1593,0.6985,0.64492,0.3636,0.00102064,0.00102064,0.00102064
19,4093.03,0.66761,0.69355,0.27948,0.54876,0.52277,0.50511,0.17402,0.70115,0.60838,0.36608,0.000994942,0.000994942,0.000994942
20,4296.47,0.66957,0.67011,0.28943,0.48037,0.55241,0.46756,0.16242,0.68386,0.66711,0.35084,0.000968245,0.000968245,0.000968245
21,4500.09,0.66051,0.69732,0.2805,0.54344,0.54596,0.50946,0.17525,0.6816,0.64548,0.35726,0.000940625,0.000940625,0.000940625
22,4703.67,0.65807,0.67393,0.28039,0.56832,0.5191,0.51674,0.17779,0.69724,0.62031,0.3789,0.000912157,0.000912157,0.000912157
23,4907.56,0.65461,0.67291,0.27712,0.55626,0.51996,0.51024,0.16895,0.70208,0.62549,0.37014,0.000882918,0.000882918,0.000882918
24,5111.12,0.65281,0.66405,0.27941,0.62525,0.53308,0.55564,0.19706,0.66909,0.62198,0.3502,0.00085299,0.00085299,0.00085299
25,5314.6,0.64426,0.67976,0.2771,0.53931,0.55734,0.52412,0.18289,0.68715,0.61982,0.36014,0.000822454,0.000822454,0.000822454
26,5518.08,0.64619,0.66638,0.27515,0.56113,0.56271,0.55847,0.20077,0.67576,0.60735,0.35391,0.000791394,0.000791394,0.000791394
27,5720.98,0.64025,0.65864,0.2783,0.5913,0.56729,0.54825,0.19554,0.6742,0.62613,0.35564,0.000759895,0.000759895,0.000759895
28,5924.2,0.64552,0.67901,0.2714,0.59198,0.58695,0.56127,0.19635,0.66313,0.63562,0.34614,0.000728044,0.000728044,0.000728044
29,6127.88,0.64375,0.64139,0.26945,0.56955,0.56731,0.55247,0.18551,0.71579,0.58401,0.37227,0.000695927,0.000695927,0.000695927
30,6331.62,0.62939,0.66794,0.26665,0.56207,0.5479,0.5285,0.19499,nan,nan,nan,0.000663633,0.000663633,0.000663633
31,6535.72,0.62042,0.65445,0.26294,0.60855,0.54942,0.54661,0.18998,0.69157,0.60004,0.36096,0.00063125,0.00063125,0.00063125
32,6739.22,0.62903,0.64772,0.26981,0.59992,0.55966,0.58193,0.20454,0.67242,0.61002,0.35277,0.000598867,0.000598867,0.000598867
33,6943.18,0.61634,0.64062,0.26077,0.55513,0.56002,0.53916,0.19243,nan,nan,nan,0.000566573,0.000566573,0.000566573
34,7146.53,0.61238,0.63733,0.25715,0.59048,0.57847,0.56999,0.20342,0.68169,0.59706,0.35566,0.000534456,0.000534456,0.000534456
35,7349.62,0.61675,0.65057,0.26165,0.61932,0.59058,0.56724,0.20562,nan,nan,nan,0.000502605,0.000502605,0.000502605
36,7553.35,0.6072,0.64404,0.25694,0.62749,0.51243,0.50486,0.18054,nan,nan,nan,0.000471106,0.000471106,0.000471106
37,7756.55,0.60142,0.62495,0.2543,0.63782,0.5563,0.56107,0.19725,nan,nan,nan,0.000440046,0.000440046,0.000440046
38,7960.07,0.6023,0.62717,0.25384,0.63019,0.55368,0.55151,0.18763,nan,nan,nan,0.00040951,0.00040951,0.00040951
39,8163.84,0.60468,0.61098,0.25666,0.64889,0.55622,0.56142,0.19177,nan,nan,nan,0.000379582,0.000379582,0.000379582
40,8367.82,0.59578,0.61815,0.24839,0.64406,0.53999,0.55511,0.18928,nan,nan,nan,0.000350343,0.000350343,0.000350343
41,8571.13,0.59334,0.60525,0.24993,0.63767,0.56099,0.55764,0.20121,nan,nan,nan,0.000321875,0.000321875,0.000321875
42,8774.81,0.58246,0.61339,0.24428,0.67601,0.57693,0.58737,0.2082,nan,nan,nan,0.000294255,0.000294255,0.000294255
43,8978.5,0.57987,0.60829,0.24174,0.62262,0.5886,0.58699,0.20805,nan,nan,nan,0.000267558,0.000267558,0.000267558
44,9181.88,0.58037,0.59701,0.2423,0.59962,0.5757,0.56531,0.20131,0.68561,0.59456,0.36085,0.000241858,0.000241858,0.000241858
45,9385.76,0.56598,0.59965,0.24065,0.63116,0.56396,0.57807,0.20861,nan,nan,nan,0.000217225,0.000217225,0.000217225
46,9589.35,0.55787,0.60002,0.23245,0.64438,0.55882,0.58272,0.19937,0.69732,0.59162,0.36034,0.000193728,0.000193728,0.000193728
47,9792.76,0.55575,0.59214,0.2309,0.62351,0.56861,0.56376,0.19737,nan,nan,nan,0.000171429,0.000171429,0.000171429
48,9996.29,0.54946,0.59532,0.2249,0.64123,0.56946,0.58726,0.20514,0.69699,0.58951,0.36741,0.000150391,0.000150391,0.000150391
49,10199.4,0.54403,0.58677,0.22619,0.60396,0.59774,0.57412,0.19986,nan,nan,nan,0.000130671,0.000130671,0.000130671
50,10403.3,0.53468,0.58817,0.2216,0.54202,0.5839,0.55966,0.19277,nan,nan,nan,0.000112323,0.000112323,0.000112323
51,10607.5,0.535,0.57144,0.21865,0.62179,0.54789,0.54683,0.19066,nan,nan,nan,9.53968e-05,9.53968e-05,9.53968e-05
52,10811,0.52781,0.58023,0.22085,0.65713,0.50116,0.55508,0.19236,nan,nan,nan,7.99397e-05,7.99397e-05,7.99397e-05
53,11014.5,0.51629,0.57694,0.20879,0.56224,0.58897,0.55243,0.19114,nan,nan,nan,6.59937e-05,6.59937e-05,6.59937e-05
54,11219.6,0.51014,0.5106,0.25181,0.57786,0.53209,0.50752,0.18117,nan,nan,nan,5.35971e-05,5.35971e-05,5.35971e-05
55,11421.8,0.49735,0.50501,0.25111,0.56486,0.53137,0.51038,0.18068,nan,nan,nan,4.27838e-05,4.27838e-05,4.27838e-05
56,11624.8,0.49465,0.49422,0.24583,0.54787,0.56201,0.51808,0.17932,nan,nan,nan,3.35834e-05,3.35834e-05,3.35834e-05
57,11828.3,0.48953,0.49712,0.24357,0.54753,0.57672,0.53392,0.18428,nan,nan,nan,2.60212e-05,2.60212e-05,2.60212e-05
58,12031.3,0.48191,0.49873,0.23798,0.56339,0.57872,0.54133,0.18685,nan,nan,nan,2.01178e-05,2.01178e-05,2.01178e-05
59,12234.7,0.48233,0.49079,0.23438,0.57593,0.56617,0.53891,0.1862,nan,nan,nan,1.58896e-05,1.58896e-05,1.58896e-05
60,12437.7,0.48163,0.4917,0.23643,0.56617,0.57816,0.54395,0.18921,nan,nan,nan,1.3348e-05,1.3348e-05,1.3348e-05
