epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.725,1.94193,8.3442,0.01239,0.30969,0.23652,0.15168,0.04409,2.05786,3.41554,0.01962,0.000415889,0.000415889,0.000415889
2,314.011,2.12989,2.94185,0.01359,0.59711,0.36497,0.35719,0.118,2.24007,2.15358,0.02166,0.000831991,0.000831991,0.000831991
3,463.697,2.14373,2.59568,0.01388,0.37172,0.32906,0.25979,0.07725,2.0717,2.66334,0.01973,0.00124584,0.00124584,0.00124584
4,612.092,2.13045,2.52526,0.01367,0.57986,0.33067,0.33306,0.11141,2.12239,2.25326,0.02042,0.00124238,0.00124238,0.00124238
5,159.517,2.10764,2.3984,0.01358,0.35485,0.37969,0.33397,0.10863,2.14846,2.18959,0.0205,0.00123648,0.00123648,0.00123648
6,307.973,2.12388,2.30413,0.01361,0.39551,0.43272,0.34366,0.11302,2.15698,2.11645,0.02038,0.00122892,0.00122892,0.00122892
7,456.322,2.0751,2.215,0.01339,0.38576,0.41913,0.37827,0.1298,2.12038,2.02858,0.02037,0.00121972,0.00121972,0.00121972
8,604.742,2.05702,2.14691,0.01321,0.58871,0.39569,0.37124,0.12722,2.06976,2.07956,0.01972,0.0012089,0.0012089,0.0012089
9,753.261,2.08762,2.11968,0.0135,0.45516,0.45067,0.42054,0.14122,2.09807,1.99139,0.0201,0.00119651,0.00119651,0.00119651
10,901.794,2.07732,2.09244,0.01343,0.44476,0.43934,0.42482,0.14407,2.11431,1.97511,0.02021,0.00118256,0.00118256,0.00118256
11,1049.48,2.03435,2.04619,0.01303,0.47935,0.44056,0.41631,0.13616,2.16266,1.92006,0.02057,0.0011671,0.0011671,0.0011671
12,1197.93,2.0197,2.03471,0.01299,0.45021,0.48285,0.42925,0.14337,2.11556,1.89824,0.02042,0.00115018,0.00115018,0.00115018
13,1346.66,2.0247,2.04391,0.01297,0.44865,0.4568,0.42957,0.14503,2.11094,1.9037,0.01997,0.00113183,0.00113183,0.00113183
14,1494.75,2.02071,2.0105,0.01302,0.44389,0.49552,0.44632,0.14998,2.12495,1.88349,0.02041,0.00111211,0.00111211,0.00111211
15,1642.85,2.02237,1.97944,0.01311,0.45131,0.46391,0.43353,0.15765,2.04213,1.84861,0.01933,0.00109107,0.00109107,0.00109107
16,1791.4,2.01091,1.93138,0.01282,0.45212,0.45957,0.4254,0.15491,2.1149,1.78268,0.0203,0.00106877,0.00106877,0.00106877
