epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.772,2.00152,14.5756,0.01157,0.61022,0.12767,0.0663,0.01922,1.94041,5.37862,0.01616,0.000414966,0.000414966,0.000414966
2,370.737,1.96515,3.81887,0.01123,0.85412,0.08633,0.13229,0.03643,1.97456,3.70981,0.01656,0.000831068,0.000831068,0.000831068
3,538.533,1.99119,3.21618,0.01126,0.5908,0.20115,0.09181,0.02658,2.05575,3.60338,0.01763,0.00124491,0.00124491,0.00124491
4,706.079,2.05376,3.03741,0.0118,0.66457,0.16858,0.14055,0.0427,2.12405,2.9982,0.01802,0.00124238,0.00124238,0.00124238
5,877.039,2.05773,2.89299,0.01155,0.64154,0.20543,0.16255,0.05629,2.13278,2.60498,0.01833,0.00123648,0.00123648,0.00123648
6,1045.62,2.02854,2.69802,0.01172,0.37715,0.23689,0.12097,0.03456,2.20717,3.31118,0.0186,0.00122892,0.00122892,0.00122892
7,1212.54,2.01672,2.62289,0.01174,0.70183,0.23877,0.22426,0.07616,2.15406,2.40203,0.0186,0.00121972,0.00121972,0.00121972
8,1379.81,2.05985,2.43005,0.01191,0.75434,0.20468,0.2254,0.07686,2.16093,2.28652,0.01867,0.0012089,0.0012089,0.0012089
9,1547.47,2.08676,2.36715,0.01229,0.71496,0.26245,0.25185,0.07755,2.26736,2.31639,0.02018,0.00119651,0.00119651,0.00119651
10,1715,2.05499,2.29311,0.01191,0.70656,0.25888,0.2462,0.07386,2.26629,2.31442,0.01965,0.00118256,0.00118256,0.00118256
11,1882.27,2.04789,2.30272,0.01173,0.71017,0.23237,0.22682,0.07247,2.19522,2.20385,0.0189,0.0011671,0.0011671,0.0011671
12,2049.44,2.04494,2.29566,0.01182,0.73203,0.22663,0.23837,0.08288,2.09875,2.28647,0.01772,0.00115018,0.00115018,0.00115018
13,2216.97,2.03427,2.20987,0.01165,0.72115,0.24935,0.26282,0.08252,2.23376,2.06879,0.01916,0.00113183,0.00113183,0.00113183
14,2384.37,2.02486,2.13303,0.01167,0.52742,0.33389,0.31248,0.09561,2.21975,1.98956,0.01914,0.00111211,0.00111211,0.00111211
15,2552.06,2.03229,2.09657,0.0118,0.48838,0.3067,0.24972,0.08093,2.17725,2.10622,0.01915,0.00109107,0.00109107,0.00109107
16,2719.22,2.05588,2.10034,0.01161,0.74487,0.25213,0.28944,0.09398,2.24007,2.00628,0.01914,0.00106877,0.00106877,0.00106877
17,2886.47,2.05975,2.0551,0.0121,0.76326,0.25684,0.30457,0.09677,2.27275,1.93624,0.01934,0.00104527,0.00104527,0.00104527
18,3053.77,2.00545,2.02248,0.01158,0.74574,0.24217,0.2924,0.08771,2.31126,2.09118,0.0203,0.00102064,0.00102064,0.00102064
