epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.006,1.97315,15.6187,0.01129,0.58817,0.11734,0.06479,0.01434,2.13916,5.21101,0.01818,0.000414966,0.000414966,0.000414966
2,345.626,2.05486,3.69605,0.01178,0.59773,0.12967,0.08857,0.02575,2.28001,4.40004,0.01904,0.000831068,0.000831068,0.000831068
3,514.797,2.1126,3.05943,0.01211,0.6624,0.17645,0.12848,0.04094,2.23548,3.00475,0.01971,0.00124491,0.00124491,0.00124491
4,683.533,2.15121,2.82413,0.01265,0.66316,0.17514,0.14713,0.04246,2.2617,2.83063,0.01989,0.00124238,0.00124238,0.00124238
5,852.594,2.12217,2.66882,0.01218,0.73586,0.19836,0.20967,0.06342,2.30489,2.44745,0.02008,0.00123648,0.00123648,0.00123648
6,1021.2,2.16568,2.54527,0.0128,0.72243,0.22568,0.19856,0.06678,2.19096,2.74679,0.01898,0.00122892,0.00122892,0.00122892
7,1189.69,2.15858,2.41665,0.0128,0.74241,0.24099,0.24258,0.07294,2.43949,2.13768,0.02101,0.00121972,0.00121972,0.00121972
8,1358.2,2.12776,2.41583,0.01237,0.72581,0.23082,0.27318,0.08516,2.22632,2.23296,0.0191,0.0012089,0.0012089,0.0012089
9,1527.09,2.07627,2.4115,0.01222,0.72102,0.24864,0.27247,0.08351,2.27197,2.19855,0.0197,0.00119651,0.00119651,0.00119651
10,1695.29,2.06924,2.27261,0.01196,0.73788,0.2365,0.24334,0.07762,2.32245,2.11591,0.01974,0.00118256,0.00118256,0.00118256
11,1863.69,2.056,2.29467,0.01185,0.73973,0.19949,0.24823,0.08017,2.23831,2.32193,0.01904,0.0011671,0.0011671,0.0011671
12,2031.49,2.03577,2.22201,0.0118,0.77634,0.23708,0.28004,0.09053,2.33644,2.00385,0.01977,0.00115018,0.00115018,0.00115018
13,2199.49,2.08504,2.19817,0.01197,0.74108,0.24059,0.27988,0.09,2.25855,2.16221,0.01958,0.00113183,0.00113183,0.00113183
14,2367.79,2.04072,2.15967,0.01184,0.20682,0.37589,0.2752,0.09635,2.27228,2.07006,0.01929,0.00111211,0.00111211,0.00111211
15,2535.89,2.03877,2.07997,0.0118,0.38634,0.40688,0.32839,0.10816,2.27119,2.00592,0.01946,0.00109107,0.00109107,0.00109107
16,2704.32,2.07467,2.06065,0.01183,0.6909,0.30218,0.30229,0.09504,2.32183,2.13082,0.01953,0.00106877,0.00106877,0.00106877
