epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/B1,val/AP/B2,val/AP/B3,val/AP/B4,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,1.512345716037089e-05,1.512345716037089e-05,4.888754574494669e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,3.055555498576723e-05,3.055555498576723e-05,9.877279580905451e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,,,,,4.598765372065827e-05,4.598765372065827e-05,1.4865804587316234e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,,,,,,,,,6.141975609352812e-05,6.141975609352812e-05,1.985432845685864e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,249,,,,,,,,,,,,,,,,,,,,,,,7.685185119044036e-05,7.685185119044036e-05,2.48428546001378e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,299,,,,,,,,,,,,,,,,,,,,,,,9.22839535633102e-05,9.22839535633102e-05,2.9831378469680203e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,323,,,,,,,,,,,,,,,,,,,,,,,,,,0.29593902826309204,0.15679536759853363,0.21279765665531158,0.11435223370790482,0.5137465596199036,296.695556640625,296.695556640625,296.695556640625,296.69183349609375,296.695556640625,37.983306884765625,0.4660927355289459,0.1981605738401413,0.5387409329414368,9.392105102539062,0.05592014640569687,0.059518057852983475,0.058200109750032425,0.05693565681576729,0.061397213488817215,0.9241772890090942,0.9240050315856934,0.9161203503608704,0.9161803126335144,0.9312719702720642,0.3238728642463684,0.33434581756591797,0.33119627833366394,0.32673677802085876,0.3440946340560913,0.4661051332950592,0.19497106969356537,0.1245102807879448,0.5293652415275574,0.49139276146888733,0.5556614398956299
0,323,3891.75,3893.785400390625,3886.837158203125,3890.980712890625,3894.62890625,49.907630920410156,10.264032363891602,0.06785053759813309,0.07145845890045166,0.0702134445309639,0.06816063076257706,0.07277636975049973,0.9609373211860657,0.9705908298492432,0.9578875303268433,0.9614808559417725,0.9635550379753113,0.3632764518260956,0.3725760579109192,0.37035900354385376,0.36497029662132263,0.3774580657482147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,,,,,,,,,,,9.999958274420351e-05,9.999958274420351e-05,3.2325506253982894e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,399,,,,,,,,,,,,,,,,,,,,,,,9.99962430796586e-05,9.99962430796586e-05,3.232442622902454e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
