epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1462.81,0.82445,1.4895,0.30646,0.43543,0.53867,0.4078,0.15993,0.69323,0.67543,0.31159,0.000416345,0.000416345,0.000416345
2,2613.19,0.69279,0.66277,0.23281,0.41018,0.58136,0.44204,0.17451,0.72218,0.62168,0.3214,0.000832447,0.000832447,0.000832447
3,3984,0.68301,0.66662,0.23041,0.45962,0.56896,0.46124,0.19821,0.65775,0.67578,0.28582,0.00124629,0.00124629,0.00124629
4,5111.29,0.68133,0.65483,0.22741,0.45293,0.55859,0.44001,0.17715,0.69336,0.69106,0.31898,0.00124238,0.00124238,0.00124238
5,6440.9,0.66825,0.65338,0.22334,0.5075,0.57588,0.50751,0.21161,0.67588,0.62598,0.29975,0.00123648,0.00123648,0.00123648
6,7545.29,0.66071,0.64894,0.22235,0.47714,0.55493,0.47448,0.2036,0.64759,0.681,0.28082,0.00122892,0.00122892,0.00122892
7,8925.63,0.65443,0.64832,0.21762,0.51008,0.58938,0.5242,0.22001,0.65579,0.63228,0.28859,0.00121972,0.00121972,0.00121972
8,10049.5,0.6492,0.6425,0.21639,0.50507,0.59122,0.51747,0.21575,0.66834,0.62084,0.29937,0.0012089,0.0012089,0.0012089
9,11396.8,0.64859,0.63154,0.21658,0.51822,0.58714,0.50966,0.21438,0.67327,0.61811,0.29248,0.00119651,0.00119651,0.00119651
10,12647,0.64575,0.63789,0.21549,0.48526,0.60109,0.51699,0.21688,0.66661,0.62712,0.29221,0.00118256,0.00118256,0.00118256
11,13965.9,0.63864,0.63906,0.21279,0.52143,0.60359,0.53739,0.22815,0.65412,0.62034,0.28531,0.0011671,0.0011671,0.0011671
12,15359.5,0.6376,0.62321,0.21234,0.54445,0.6046,0.54196,0.22693,0.6684,0.58152,0.29591,0.00115018,0.00115018,0.00115018
13,16633.3,0.63381,0.63418,0.2091,0.52572,0.60081,0.53874,0.23525,0.65409,0.60468,0.28613,0.00113183,0.00113183,0.00113183
14,18052.9,0.63081,0.63122,0.20848,0.55907,0.61006,0.55773,0.23583,0.66452,0.57887,0.29375,0.00111211,0.00111211,0.00111211
15,19245.1,0.63138,0.6196,0.20869,0.53042,0.62257,0.54356,0.22513,0.66058,0.61317,0.29169,0.00109107,0.00109107,0.00109107
16,20686.2,0.6299,0.6188,0.20805,0.5576,0.59625,0.549,0.23506,0.66458,0.58655,0.29239,0.00106877,0.00106877,0.00106877
17,21898.5,0.6284,0.62584,0.20852,0.53226,0.61716,0.55211,0.23606,0.65517,0.58607,0.28691,0.00104527,0.00104527,0.00104527
18,23321.8,0.62175,0.6267,0.20566,0.53862,0.62229,0.55406,0.23657,0.64535,0.60798,0.28213,0.00102064,0.00102064,0.00102064
19,24481.8,0.62487,0.61771,0.20673,0.54563,0.62073,0.54712,0.2299,0.66013,0.59759,0.2959,0.000994942,0.000994942,0.000994942
20,25823.3,0.62601,0.61816,0.20888,0.54582,0.59374,0.5517,0.23236,0.66805,0.58652,0.2926,0.000968245,0.000968245,0.000968245
