epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,672.322,1.88018,4.58428,0.00953,0.35574,0.39666,0.2963,0.11796,1.98334,2.45281,0.01546,0.000416345,0.000416345,0.000416345
2,1356.99,1.95599,2.22225,0.01001,0.40483,0.47597,0.38557,0.15279,2.0272,2.06043,0.01599,0.000832447,0.000832447,0.000832447
3,1995.72,1.93898,2.12448,0.01,0.39275,0.48829,0.39705,0.15968,1.97335,2.00066,0.0157,0.00124629,0.00124629,0.00124629
4,2605.01,1.90979,2.04595,0.00966,0.4295,0.4981,0.4206,0.17333,2.0268,1.95578,0.01633,0.00124238,0.00124238,0.00124238
5,3274.89,1.91515,1.98695,0.00974,0.42006,0.47155,0.41343,0.16753,1.9694,1.95112,0.01549,0.00123648,0.00123648,0.00123648
6,3692.67,1.8866,1.94118,0.00967,0.39047,0.50132,0.40771,0.17204,1.93123,1.9037,0.01548,0.00122892,0.00122892,0.00122892
7,4189.89,1.8879,1.92373,0.00962,0.44462,0.49875,0.44726,0.18989,1.94924,1.79184,0.0153,0.00121972,0.00121972,0.00121972
8,4619.36,1.85885,1.89852,0.00945,0.43785,0.53779,0.4424,0.1835,1.95613,1.80784,0.01547,0.0012089,0.0012089,0.0012089
9,5263.42,1.85279,1.85515,0.00941,0.44722,0.48432,0.43039,0.1863,1.94964,1.79986,0.0153,0.00119651,0.00119651,0.00119651
10,5936.34,1.84873,1.85112,0.00946,0.46939,0.5223,0.46362,0.19383,1.98079,1.76082,0.01572,0.00118256,0.00118256,0.00118256
11,6589.5,1.84929,1.80535,0.00938,0.46776,0.5539,0.48576,0.20551,1.95212,1.71505,0.01535,0.0011671,0.0011671,0.0011671
12,7251.76,1.83511,1.78147,0.00938,0.49229,0.53252,0.49527,0.20638,1.95565,1.66232,0.01536,0.00115018,0.00115018,0.00115018
