epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,265.982,0.92312,3.10455,0.42682,0.55377,0.37831,0.3066,0.11161,0.67235,0.81408,0.33786,0.000415889,0.000415889,0.000415889
2,514.475,0.73484,0.79007,0.3142,0.5849,0.37251,0.34021,0.11863,0.70874,0.74386,0.37538,0.000831991,0.000831991,0.000831991
3,758.325,0.73136,0.77874,0.31717,0.59158,0.37319,0.37412,0.13431,0.69324,0.77746,0.36703,0.00124584,0.00124584,0.00124584
4,1000.16,0.71375,0.74907,0.30968,0.67753,0.40472,0.45016,0.16253,0.65905,0.72761,0.34008,0.00124238,0.00124238,0.00124238
5,1241.95,0.70665,0.75123,0.30816,0.68922,0.41965,0.48286,0.16092,0.71207,0.64323,0.37875,0.00123648,0.00123648,0.00123648
6,1481.61,0.69512,0.7197,0.29824,0.48061,0.5151,0.47392,0.16223,0.70138,0.63077,0.36935,0.00122892,0.00122892,0.00122892
7,1725.5,0.69859,0.71419,0.30103,0.56136,0.5244,0.51315,0.17538,0.69614,0.62399,0.36819,0.00121972,0.00121972,0.00121972
8,1969.27,0.69053,0.70349,0.3041,0.55695,0.47479,0.48371,0.16734,0.70102,0.6354,0.36381,0.0012089,0.0012089,0.0012089
9,2218.43,0.68215,0.69121,0.29144,0.57623,0.49328,0.49482,0.16884,0.73163,0.59976,0.38541,0.00119651,0.00119651,0.00119651
10,2460.77,0.69503,0.67986,0.30239,0.51286,0.52057,0.48612,0.17071,0.70734,0.63332,0.37174,0.00118256,0.00118256,0.00118256
11,2706.54,0.67736,0.69517,0.29958,0.57676,0.51846,0.52802,0.18499,0.68332,0.63581,0.35733,0.0011671,0.0011671,0.0011671
12,2952.63,0.67766,0.67758,0.2893,0.52797,0.55538,0.5281,0.18872,0.6555,0.6555,0.34718,0.00115018,0.00115018,0.00115018
13,3197.48,0.68101,0.67619,0.29065,0.62798,0.51875,0.5554,0.19529,0.68853,0.61349,0.3608,0.00113183,0.00113183,0.00113183
14,3438.58,0.66826,0.70208,0.29184,0.58249,0.51227,0.51046,0.17425,0.69972,0.61218,0.36603,0.00111211,0.00111211,0.00111211
15,3685.44,0.67232,0.67721,0.2931,0.60846,0.5051,0.53228,0.17929,0.71708,0.59598,0.37435,0.00109107,0.00109107,0.00109107
16,3932.61,0.67289,0.66674,0.28997,0.53347,0.50511,0.48962,0.16348,0.72577,0.64861,0.37652,0.00106877,0.00106877,0.00106877
17,4178.02,0.65177,0.68028,0.28284,0.5989,0.53084,0.54037,0.18777,0.69228,0.60905,0.36079,0.00104527,0.00104527,0.00104527
18,4424.06,0.65658,0.66474,0.279,0.55738,0.54038,0.5277,0.17813,0.71759,0.59826,0.37921,0.00102064,0.00102064,0.00102064
19,4669.01,0.65241,0.65525,0.27685,0.5641,0.54829,0.54172,0.19121,0.68605,0.6203,0.3607,0.000994942,0.000994942,0.000994942
20,4914.79,0.64798,0.66602,0.27897,0.56999,0.55789,0.54295,0.1931,0.68122,0.62835,0.37985,0.000968245,0.000968245,0.000968245
21,5155.69,0.6464,0.65937,0.27743,0.60284,0.54611,0.53851,0.18917,0.69608,0.59635,0.36617,0.000940625,0.000940625,0.000940625
22,5403.49,0.63212,0.66514,0.2724,0.58686,0.56005,0.55242,0.19668,0.68059,0.60042,0.36264,0.000912157,0.000912157,0.000912157
23,5648.11,0.63437,0.64711,0.27479,0.60522,0.56269,0.56787,0.19631,0.70361,0.58966,0.36772,0.000882918,0.000882918,0.000882918
24,5890.62,0.64283,0.64859,0.281,0.65014,0.54891,0.58159,0.20741,0.68408,0.58774,0.3722,0.00085299,0.00085299,0.00085299
25,6135.52,0.63456,0.63919,0.26789,0.60964,0.60217,0.5697,0.20188,0.68781,0.58246,0.36486,0.000822454,0.000822454,0.000822454
