epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.501,1.93891,8.84533,0.01209,0.2649,0.24121,0.18859,0.05578,1.95405,3.3129,0.01864,0.000415889,0.000415889,0.000415889
2,330.949,2.06757,2.96994,0.01305,0.44613,0.28552,0.19577,0.06425,2.04478,2.70605,0.01916,0.000831991,0.000831991,0.000831991
3,479.167,2.12606,2.58902,0.01362,0.37512,0.3971,0.33169,0.11338,2.09928,2.33606,0.01977,0.00124584,0.00124584,0.00124584
4,629.711,2.11538,2.54919,0.01356,0.34701,0.37932,0.31054,0.10268,2.08007,2.25089,0.0198,0.00124238,0.00124238,0.00124238
5,780.69,2.14247,2.38783,0.01387,0.41435,0.39929,0.34008,0.10741,2.14025,2.24929,0.02111,0.00123648,0.00123648,0.00123648
6,928.983,2.06677,2.34856,0.01334,0.38248,0.43544,0.37001,0.12587,2.10776,2.06884,0.02004,0.00122892,0.00122892,0.00122892
7,1080.27,2.1092,2.2678,0.01343,0.46524,0.39354,0.35046,0.10787,2.14959,2.25789,0.02035,0.00121972,0.00121972,0.00121972
8,1229.37,2.05432,2.22381,0.01318,0.42185,0.38634,0.34617,0.11925,2.02688,2.16486,0.01896,0.0012089,0.0012089,0.0012089
9,1377.75,2.04401,2.19758,0.01306,0.46994,0.45817,0.43256,0.14976,2.09451,1.92525,0.01975,0.00119651,0.00119651,0.00119651
10,1525.19,2.06328,2.15343,0.01302,0.48282,0.4394,0.41919,0.14333,2.10639,1.97529,0.02021,0.00118256,0.00118256,0.00118256
11,1677.11,2.05179,2.15809,0.01327,0.39592,0.41538,0.37617,0.12068,2.14392,2.10857,0.02019,0.0011671,0.0011671,0.0011671
12,1826.67,2.02347,2.07614,0.01291,0.51485,0.4531,0.44418,0.15758,2.09973,1.85088,0.02035,0.00115018,0.00115018,0.00115018
13,1975.87,2.06105,2.04286,0.01306,0.49212,0.4394,0.4374,0.15677,2.07593,1.93697,0.01963,0.00113183,0.00113183,0.00113183
14,2122.41,2.03347,2.02545,0.01314,0.53453,0.44564,0.45427,0.16364,2.09029,1.79814,0.01979,0.00111211,0.00111211,0.00111211
15,2270.41,2.01914,2.01053,0.01298,0.44936,0.47151,0.44359,0.16044,2.01232,1.93557,0.019,0.00109107,0.00109107,0.00109107
16,2419.66,2.01675,1.9582,0.01287,0.53274,0.44479,0.44488,0.14903,2.07917,1.94429,0.01947,0.00106877,0.00106877,0.00106877
17,2569.19,1.98518,1.93165,0.01266,0.4512,0.47024,0.45415,0.15471,2.08293,1.93999,0.01957,0.00104527,0.00104527,0.00104527
18,2717.98,2.01409,1.92209,0.01282,0.55838,0.4358,0.47296,0.16069,2.11907,1.91811,0.02008,0.00102064,0.00102064,0.00102064
19,2868.61,1.96894,1.91081,0.01239,0.52786,0.48121,0.47376,0.17195,2.07374,1.82907,0.0197,0.000994942,0.000994942,0.000994942
20,3018.3,2.00026,1.90537,0.01282,0.48078,0.4928,0.476,0.18246,2.04085,1.72077,0.01946,0.000968245,0.000968245,0.000968245
21,3167.29,1.96196,1.85629,0.01238,0.50134,0.48926,0.49477,0.18094,2.02691,1.74139,0.01945,0.000940625,0.000940625,0.000940625
22,3318.07,1.93833,1.82381,0.01239,0.50792,0.49042,0.48961,0.17912,2.00977,1.758,0.01901,0.000912157,0.000912157,0.000912157
23,3468.64,1.9368,1.79061,0.01246,0.48726,0.51685,0.50863,0.18345,2.0196,1.74281,0.01913,0.000882918,0.000882918,0.000882918
24,3620.63,1.93798,1.83961,0.01253,0.52111,0.50034,0.48834,0.1728,2.06621,1.74926,0.01972,0.00085299,0.00085299,0.00085299
25,3770.44,1.93493,1.74483,0.01228,0.51598,0.5037,0.50225,0.19033,2.01739,1.72577,0.01928,0.000822454,0.000822454,0.000822454
26,3921.02,1.91453,1.77296,0.01207,0.53292,0.50259,0.49529,0.17856,2.09124,1.68959,0.02002,0.000791394,0.000791394,0.000791394
27,4070.31,1.94695,1.69828,0.01245,0.57096,0.46839,0.52577,0.1909,2.01045,1.71131,0.01915,0.000759895,0.000759895,0.000759895
28,4218.67,1.93689,1.67649,0.01227,0.56881,0.53175,0.53064,0.19329,2.04207,1.63251,0.01937,0.000728044,0.000728044,0.000728044
29,4367.63,1.90968,1.63544,0.01216,0.58716,0.46562,0.51426,0.18274,2.07395,1.66494,0.01964,0.000695927,0.000695927,0.000695927
30,4515.32,1.90604,1.65082,0.01205,0.5222,0.50364,0.50924,0.1788,2.10701,1.70455,0.0201,0.000663633,0.000663633,0.000663633
31,4664.59,1.92206,1.60556,0.0122,0.56188,0.48811,0.50314,0.18729,2.08884,1.65825,0.02024,0.00063125,0.00063125,0.00063125
32,4814.82,1.89009,1.59552,0.01204,0.4711,0.51161,0.48401,0.17776,2.06788,1.71772,0.01969,0.000598867,0.000598867,0.000598867
33,4964.77,1.87811,1.61506,0.012,0.6035,0.49754,0.52483,0.19407,2.03938,1.6717,0.01932,0.000566573,0.000566573,0.000566573
34,5117.21,1.8643,1.56053,0.01186,0.57319,0.48295,0.52005,0.18507,2.09601,1.66362,0.02016,0.000534456,0.000534456,0.000534456
35,5267.79,1.85213,1.53404,0.01147,0.57003,0.50554,0.50849,0.18739,2.04893,1.65191,0.01944,0.000502605,0.000502605,0.000502605
36,5419.05,1.85957,1.50868,0.01183,0.55603,0.52617,0.53534,0.19338,2.08622,1.6108,0.01973,0.000471106,0.000471106,0.000471106
37,5567.64,1.81637,1.45502,0.01137,0.57132,0.51834,0.52402,0.19497,2.0578,1.6142,0.01956,0.000440046,0.000440046,0.000440046
38,5719.21,1.814,1.46417,0.01145,0.60874,0.5077,0.53488,0.19531,2.11141,1.61703,0.02003,0.00040951,0.00040951,0.00040951
39,5869.29,1.81849,1.40742,0.0115,0.56813,0.54252,0.53268,0.19581,2.12214,1.5587,0.02021,0.000379582,0.000379582,0.000379582
40,6020.96,1.82459,1.4083,0.01145,0.5598,0.52929,0.53238,0.19926,2.10165,1.58348,0.02022,0.000350343,0.000350343,0.000350343
41,6169.8,1.79269,1.37265,0.01135,0.62058,0.53465,0.54619,0.19891,2.15179,1.5059,0.02057,0.000321875,0.000321875,0.000321875
